itrd,dvfs,peak_qps,pkg_joules,avg_read,std_read,90th_read,95th_read,99th_read
1,0xc00,399746.6,7078.4091339999995,174.1,178.9,290.2,402.2,649.0
1,0x1100,399999.5,8574.427973,101.9,193.7,141.4,174.0,304.8
1,0x1500,400029.6,9780.037463,81.2,135.2,105.7,119.5,174.6
1,0x1900,400151.1,10935.160242,69.6,144.6,86.0,96.4,121.5
1,0x1c00,399962.6,12446.504416,65.5,157.6,79.4,87.1,112.6
2,0xc00,399964.7,7221.364159,182.1,202.0,315.5,426.1,692.0
2,0x1100,400015.2,8624.58992,103.5,162.7,153.9,194.8,369.1
2,0x1500,399919.3,9840.852694,78.7,134.2,108.0,126.1,201.6
2,0x1900,399880.1,11029.824251,65.9,151.2,84.8,96.6,125.7
2,0x1c00,400169.1,12544.486337,61.1,128.1,77.5,86.6,114.4
20,0xc00,399910.3,7261.9059179999995,165.1,156.9,268.3,380.1,623.4
20,0x1100,399839.3,8643.419827,103.1,150.3,141.7,175.7,308.9
20,0x1500,399940.2,9802.66523,80.4,76.0,104.3,116.7,164.5
20,0x1900,399920.6,11020.695784,71.4,126.7,87.5,96.7,121.0
20,0x1c00,399754.4,12497.915948,65.8,91.4,80.1,87.2,111.2
50,0xc00,399997.2,7188.29917,168.7,147.4,251.5,342.7,567.4
50,0x1100,399877.7,8639.338317,112.6,80.0,149.0,169.5,248.8
50,0x1500,399843.0,9749.164936,95.6,125.6,120.6,129.1,159.7
50,0x1900,399928.2,10828.124274,86.5,132.6,109.2,115.4,130.4
50,0x1c00,399891.1,12286.802878,84.3,199.8,105.2,111.6,124.2
100,0xc00,399875.4,7144.252839,180.8,106.1,250.6,303.3,473.8
100,0x1100,399985.8,8452.855277999999,135.4,127.2,179.9,191.7,232.7
100,0x1500,399625.4,9319.086266,120.4,80.0,160.7,169.6,187.3
100,0x1900,399891.6,10246.080512999999,113.9,124.3,152.4,160.2,173.9
100,0x1c00,399822.3,11493.017381,110.6,66.0,149.5,155.2,169.6
150,0xc00,399626.7,7043.336757,201.8,150.5,274.1,314.4,435.1
150,0x1100,399899.9,8139.277946,161.2,174.2,220.9,234.3,262.3
150,0x1500,399726.9,8923.811939,149.3,140.0,205.8,218.6,238.8
150,0x1900,399877.9,9820.570133,141.9,135.7,199.9,207.8,227.1
150,0x1c00,399820.9,11051.596554,138.9,89.6,197.2,205.8,226.8
200,0xc00,400033.0,6913.693029999999,219.9,175.0,305.0,343.1,419.6
200,0x1100,399849.7,7871.064728,185.5,175.0,262.8,276.0,312.3
200,0x1500,399719.9,8658.205251,178.0,182.9,252.7,268.3,296.4
200,0x1900,399800.1,9506.680542,171.3,135.6,247.1,262.4,284.9
200,0x1c00,399739.7,10680.291933,168.3,140.2,243.9,257.4,279.0
250,0xc00,400063.0,6810.885399,242.3,136.2,353.0,383.9,440.0
250,0x1100,400025.9,7678.66719,215.0,148.1,313.6,334.5,394.1
250,0x1500,399881.8,8424.942348999999,206.3,185.3,301.2,324.8,387.8
250,0x1900,399968.7,9178.988054,201.8,182.3,296.3,319.0,387.4
250,0x1c00,399878.1,10282.268763,197.0,126.7,294.0,315.2,387.3
300,0xc00,399922.4,6656.998442,267.2,166.3,389.9,411.7,467.1
300,0x1100,399977.3,7508.777188,245.0,188.1,365.5,389.5,427.7
300,0x1500,399989.0,8235.233995999999,233.0,90.5,356.2,381.6,415.1
300,0x1900,399896.0,8954.315172,230.2,145.4,352.6,377.3,404.6
300,0x1c00,400068.9,10067.373205,225.4,186.9,348.8,374.0,404.3
350,0xc00,399792.0,6526.301977,295.6,152.1,430.7,458.6,511.4
350,0x1100,399915.9,7362.774725,273.3,167.8,404.9,431.6,476.2
350,0x1500,399858.1,8086.068622,267.7,181.0,400.8,425.8,466.7
350,0x1900,399953.7,8723.566202,256.6,168.0,395.2,417.9,459.4
350,0x1c00,399813.9,9670.444863,255.6,286.2,392.9,413.1,447.8
400,0xc00,399863.2,6383.4755399999995,327.9,160.8,473.9,501.1,550.0
400,0x1100,399566.0,7217.325532,308.8,256.9,456.3,481.0,529.1
400,0x1500,399725.5,8063.582924,298.8,160.5,449.7,477.4,526.8
400,0x1900,399985.8,8959.766314999999,289.3,183.2,442.3,471.6,520.1
400,0x1c00,399722.2,10151.427484,287.9,164.5,441.0,469.9,516.9
