itrd,dvfs,peak_qps,pkg_joules,avg_read,std_read,90th_read,95th_read,99th_read
1,0xc00,599732.3,7170.001854,231.5,221.5,390.4,535.9,888.0
1,0x1100,599843.7,8843.175428999999,134.2,173.6,205.8,288.0,518.9
1,0x1500,599660.0,10229.530603,99.6,88.8,143.9,187.1,351.6
1,0x1900,599895.9,11653.656733,83.3,131.9,112.8,135.0,223.3
1,0x1c00,599730.4,13399.236576,72.8,73.7,95.5,110.6,161.1
2,0xc00,599850.0,7332.978177,246.5,206.6,401.8,552.2,945.5
2,0x1100,599859.0,8900.691109,151.2,168.0,260.4,386.4,611.7
2,0x1500,599759.3,10261.785206999999,103.6,209.9,155.8,208.4,404.7
2,0x1900,599633.0,11676.414552,81.8,60.1,118.4,151.1,268.3
2,0x1c00,599682.0,13452.944941,74.0,156.6,103.0,124.4,219.8
20,0xc00,599691.1,7380.653642,220.4,196.9,376.2,509.2,848.6
20,0x1100,599784.1,8944.921477,134.0,145.8,207.0,298.2,520.7
20,0x1500,599588.5,10276.865444,98.9,117.4,138.8,177.3,325.4
20,0x1900,599832.7,11667.178115,81.9,131.9,107.4,126.3,202.2
20,0x1c00,599807.3,13451.685596,74.6,152.9,94.8,109.3,160.2
50,0xc00,599810.7,7308.221937,215.7,205.3,359.5,474.4,748.5
50,0x1100,599705.1,8911.610292,133.3,86.7,188.8,237.4,404.9
50,0x1500,599962.1,10233.154795999999,110.0,111.2,145.9,169.5,253.7
50,0x1900,599975.8,11567.599640999999,95.0,110.6,121.3,134.7,180.3
50,0x1c00,599987.3,13220.105013,88.5,110.2,112.3,119.9,150.6
100,0xc00,599841.7,7269.050604,219.5,190.9,336.3,407.8,595.0
100,0x1100,600090.4,8745.974307999999,151.7,168.4,204.6,235.0,344.6
100,0x1500,599764.2,9853.643356999999,129.5,138.9,171.3,185.0,223.3
100,0x1900,599627.4,10921.292379999999,119.3,136.4,158.5,168.7,187.7
100,0x1c00,599719.8,12273.844099,113.6,172.9,152.3,160.9,178.2
150,0xc00,599893.5,7166.948499,222.6,109.0,324.9,388.2,529.6
150,0x1100,599665.0,8514.684756,168.4,141.4,231.4,249.4,310.9
150,0x1500,599648.6,9422.200483,151.2,148.1,208.5,223.1,248.8
150,0x1900,599587.1,10378.231034999999,143.0,139.1,201.3,212.6,231.2
150,0x1c00,599861.1,11634.62699,139.6,87.5,197.1,206.1,226.0
200,0xc00,599980.4,7094.184039,233.2,144.2,333.4,384.5,491.9
200,0x1100,599757.0,8231.847886,188.8,169.6,266.6,285.8,350.9
200,0x1500,599868.0,9052.776919,176.3,144.7,250.9,268.1,299.0
200,0x1900,600170.4,9906.479849,171.3,147.0,246.7,262.6,290.9
200,0x1c00,599973.5,11152.856737,166.8,121.1,242.4,255.6,276.7
250,0xc00,599677.1,6963.963374,250.8,141.6,364.2,394.2,469.1
250,0x1100,600082.3,7925.590615,216.2,208.0,311.3,334.5,394.2
250,0x1500,599899.8,8683.023955,209.2,152.3,301.8,326.5,389.0
250,0x1900,599647.3,9508.409221,199.9,145.8,291.9,310.7,381.3
250,0x1c00,599655.4,10615.113981999999,197.4,86.2,291.2,309.7,381.5
300,0xc00,600008.6,6735.820019,272.8,125.5,390.7,411.0,470.7
300,0x1100,599789.1,7586.299343,252.9,188.1,366.6,389.8,427.1
300,0x1500,599775.5,8318.004713,244.5,131.2,362.8,386.8,421.3
300,0x1900,599795.8,9088.06121,238.1,155.5,355.1,379.0,405.0
300,0x1c00,599741.6,10135.722912,231.8,196.6,349.4,373.2,403.3
350,0xc00,538691.1,6494.868738,306.4,222.2,428.4,449.9,499.4
350,0x1100,538495.6,7275.871258,289.7,152.5,415.5,437.3,482.0
350,0x1500,538947.0,7979.038998,277.1,146.2,403.3,428.2,467.8
350,0x1900,538983.5,8706.082382,268.2,120.5,399.2,422.7,460.0
350,0x1c00,539079.1,9630.399522,265.2,175.1,397.8,421.2,459.8
400,0xc00,472411.8,6345.55977,330.9,145.2,470.7,490.2,536.6
400,0x1100,472203.8,7165.793952,313.6,158.9,458.0,480.8,528.2
400,0x1500,472308.9,7986.52687,307.3,209.5,456.2,480.7,529.8
400,0x1900,472321.4,8908.049417,298.5,163.8,449.0,475.8,522.4
400,0x1c00,472089.1,10048.560012,295.3,164.4,445.3,473.8,521.2
