itrd,dvfs,peak_qps,pkg_joules,avg_read,std_read,90th_read,95th_read,99th_read
1,0xc00,99901.8,6098.344704,92.9,28.2,116.1,127.5,156.0
1,0x1100,99908.6,7090.295716,75.7,143.5,89.7,99.4,123.3
1,0x1500,99846.1,7835.295853,68.7,164.5,84.0,95.5,120.3
1,0x1900,99845.0,8272.09898,63.4,95.1,76.0,81.2,104.0
1,0x1c00,99927.5,10071.802658999999,57.2,79.1,65.6,72.2,104.6
2,0xc00,99949.9,6288.271986,89.1,119.2,112.3,125.0,165.8
2,0x1100,99952.6,7163.965721,69.2,14.9,84.8,95.3,125.8
2,0x1500,99914.5,7933.037617,62.3,135.4,75.1,83.8,113.0
2,0x1900,99914.8,8884.276131,58.2,166.9,68.3,80.7,111.4
2,0x1c00,99995.3,10070.691544,55.8,85.3,65.6,78.4,108.1
20,0xc00,99922.2,6292.457196,92.9,121.8,115.8,128.4,166.0
20,0x1100,99861.7,7103.771836,76.3,149.9,92.3,102.0,123.8
20,0x1500,99938.2,7251.500782,72.3,87.1,91.1,102.1,129.0
20,0x1900,99846.8,8450.803482,64.1,111.5,77.0,82.3,105.2
20,0x1c00,99833.6,10047.523439,57.3,63.5,66.6,73.8,103.4
50,0xc00,99805.6,6251.671437,99.8,118.8,128.0,139.1,164.6
50,0x1100,100016.1,7202.110729,83.1,141.8,108.7,115.2,128.2
50,0x1500,99905.6,8013.136473,75.6,89.2,101.5,106.3,116.9
50,0x1900,99831.4,8918.009558,71.0,118.6,96.1,102.9,114.2
50,0x1c00,99980.2,10086.35549,68.4,109.8,93.7,99.9,112.2
100,0xc00,99850.4,6212.848414,127.1,107.8,173.5,184.1,203.1
100,0x1100,99860.4,7127.25342,109.6,66.1,154.8,164.4,178.5
100,0x1500,99927.0,7952.286777,102.2,33.4,148.8,155.1,169.1
100,0x1900,99981.9,8802.428649,97.1,72.0,143.7,151.3,163.2
100,0x1c00,100000.9,9954.032765,94.7,84.9,140.7,149.1,156.9
150,0xc00,99866.2,6152.245402,158.2,53.7,222.3,234.2,251.0
150,0x1100,99844.0,7017.426275,141.8,88.3,205.3,217.9,236.2
150,0x1500,99938.8,7734.992455,136.9,73.3,201.4,212.7,236.4
150,0x1900,99995.8,8492.606477,133.7,126.1,198.5,207.8,235.0
150,0x1c00,99947.3,9512.960065,132.6,165.9,197.7,207.6,236.8
200,0xc00,99898.7,6095.830954999999,188.5,136.5,268.7,283.3,314.1
200,0x1100,99914.0,6909.924206,175.0,82.1,257.7,270.8,298.6
200,0x1500,99944.3,7577.1552599999995,169.4,124.4,250.4,266.6,294.0
200,0x1900,99896.9,8319.452853,164.5,86.2,247.0,263.8,294.0
200,0x1c00,99920.5,9250.804696,163.7,148.3,245.8,262.0,293.4
250,0xc00,99906.8,6045.1312929999995,219.8,182.1,321.1,342.1,394.3
250,0x1100,99732.8,6841.916282,206.7,126.8,309.8,331.0,393.1
250,0x1500,99967.6,7477.300822,200.4,113.8,302.3,325.9,388.4
250,0x1900,99905.9,8204.182495,197.1,133.9,299.4,324.2,388.8
250,0x1c00,99896.7,9111.542733,195.2,108.5,297.8,323.0,387.1
300,0xc00,99940.3,5991.530776,251.4,191.3,377.3,395.0,430.4
300,0x1100,99802.7,6772.101172,235.6,191.6,363.5,387.0,419.9
300,0x1500,100024.3,7395.850633,233.0,160.9,360.9,384.5,414.6
300,0x1900,99948.2,8090.163491,227.1,132.8,358.1,382.6,414.2
300,0x1c00,99941.0,8907.354383,225.5,166.0,355.6,380.5,406.6
350,0xc00,99773.7,5973.371075999999,282.3,171.4,423.8,442.5,485.8
350,0x1100,99948.4,6781.7493589999995,265.5,136.3,408.5,433.2,476.7
350,0x1500,99946.9,7500.62893,261.9,222.4,403.6,430.1,474.7
350,0x1900,99836.6,8340.315402,258.1,201.0,400.4,426.9,472.4
350,0x1c00,99929.8,9461.326554,251.9,157.6,396.7,421.2,465.9
400,0xc00,99879.2,6020.187783,323.6,251.9,480.4,514.5,577.7
400,0x1100,99871.6,6893.468724,304.9,221.4,466.7,490.3,539.0
400,0x1500,99945.5,7727.735529,295.0,142.7,458.7,483.6,530.4
400,0x1900,99923.2,8559.045359,287.2,196.2,449.4,477.2,524.9
400,0x1c00,99918.1,9648.451679,284.8,173.1,446.7,475.2,521.8
