itrd,dvfs,peak_qps,pkg_joules,avg_read,std_read,90th_read,95th_read,99th_read
1,0xc00,199916.6,6684.275385,104.7,130.5,139.7,160.8,222.8
1,0x1100,199800.0,7804.246365,78.8,130.6,97.7,108.0,130.8
1,0x1500,200090.2,8761.088278,69.6,126.3,83.8,91.3,112.4
1,0x1900,199878.8,9725.223716999999,62.4,135.4,73.5,79.5,102.2
1,0x1c00,200008.8,11024.890388,59.8,129.1,70.3,76.4,99.4
2,0xc00,200028.4,6844.645361,103.8,102.7,145.3,170.7,253.4
2,0x1100,199865.2,7847.302422,74.5,170.6,94.0,105.3,131.7
2,0x1500,199873.3,8792.632049,64.6,87.4,79.6,87.9,113.4
2,0x1900,199863.2,9768.803824999999,59.0,117.0,70.9,78.6,106.5
2,0x1c00,199912.8,11039.667394,55.1,13.0,66.0,75.3,101.0
20,0xc00,199661.0,6839.205503,105.5,96.8,140.9,162.2,227.1
20,0x1100,200006.9,7841.129344,79.2,125.3,97.7,107.2,127.6
20,0x1500,199816.0,8794.375124,69.6,127.6,83.6,90.2,110.9
20,0x1900,199812.3,9735.009703,64.2,125.0,77.0,82.4,106.1
20,0x1c00,199883.3,10968.547616,60.6,100.7,74.2,81.6,101.6
50,0xc00,200067.9,6761.733063,118.4,78.6,154.1,171.3,223.2
50,0x1100,200105.8,7870.817617,93.1,81.9,117.8,126.5,145.8
50,0x1500,199781.0,8763.828642,83.7,169.1,106.4,113.5,126.3
50,0x1900,199922.4,9714.027227999999,78.7,122.7,102.3,106.6,116.9
50,0x1c00,199813.8,10889.683156,75.6,89.4,99.1,104.5,115.4
100,0xc00,199909.3,6721.170381,145.1,196.1,188.4,202.8,238.8
100,0x1100,199741.9,7692.401828,122.8,81.1,164.2,171.2,187.8
100,0x1500,199986.4,8502.64543,114.0,162.4,153.1,161.3,171.9
100,0x1900,199883.7,9420.81804,107.1,134.8,148.2,154.1,168.1
100,0x1c00,199927.8,10618.281712,104.4,57.5,145.6,152.2,164.8
150,0xc00,199949.1,6579.959102,172.0,146.2,231.8,246.4,273.7
150,0x1100,199918.8,7476.06606,151.5,99.4,209.6,221.3,240.4
150,0x1500,199881.5,8288.912959,144.2,88.9,202.7,213.4,228.6
150,0x1900,199913.8,9120.389197,140.1,155.5,199.1,207.4,229.3
150,0x1c00,199938.7,10283.649680999999,138.0,166.3,197.2,206.0,228.6
200,0xc00,200004.5,6454.317707,201.9,176.1,277.6,296.5,371.0
200,0x1100,199741.7,7317.749648999999,182.1,115.3,260.2,272.6,300.9
200,0x1500,200003.7,8084.682702,174.1,144.8,252.0,267.5,294.0
200,0x1900,200021.6,8875.442538,169.3,135.4,247.4,262.9,288.1
200,0x1c00,199777.4,9963.918364,167.0,108.0,245.4,260.1,286.8
250,0xc00,199867.0,6358.32219,232.4,141.4,330.9,360.0,399.0
250,0x1100,199964.5,7202.585126,213.7,141.7,312.5,331.9,393.7
250,0x1500,199648.5,7944.814521,205.2,209.6,302.2,325.4,389.1
250,0x1900,199921.8,8683.561731,199.5,113.8,298.2,321.2,387.6
250,0x1c00,199790.4,9711.487981,197.0,164.4,295.9,318.2,387.2
300,0xc00,199983.9,6281.089663,262.5,314.8,384.3,400.5,440.1
300,0x1100,199843.2,7133.902176,243.3,122.9,367.1,390.1,426.0
300,0x1500,199921.9,7804.687212,233.3,127.8,358.7,382.8,412.2
300,0x1900,199771.1,8520.299805999999,230.4,148.6,357.1,381.1,407.4
300,0x1c00,199953.5,9518.930806,226.7,214.7,354.2,379.5,406.8
350,0xc00,199970.9,6212.809679,290.3,213.5,426.1,444.9,487.2
350,0x1100,199912.1,7041.127825,270.8,133.2,407.7,432.3,474.2
350,0x1500,199862.5,7728.159418,263.3,149.8,402.6,428.2,468.9
350,0x1900,200100.9,8481.280912,258.7,216.5,398.7,423.6,465.1
350,0x1c00,199845.8,9517.372988,253.9,168.6,396.7,421.1,463.4
400,0xc00,199897.3,6170.519782,320.5,205.9,473.0,497.7,538.5
400,0x1100,199881.0,7086.390435,303.7,160.5,461.9,486.7,538.8
400,0x1500,199999.4,7921.026046,298.7,172.8,459.0,484.6,533.8
400,0x1900,199810.5,8818.155181,288.8,152.9,449.2,476.9,523.8
400,0x1c00,199819.7,9938.513633,283.8,177.7,444.4,474.4,523.2
