itrd,dvfs,peak_qps,pkg_joules,avg_read,std_read,90th_read,95th_read,99th_read
1,0xc00,99918.4,6449.283072,96.5,20.6,118.6,129.4,161.9
1,0x1100,99903.7,6488.588788,96.6,19.9,118.6,129.4,160.3
1,0x1500,100007.0,6476.7530799999995,97.7,21.0,120.1,131.2,162.9
1,0x1900,99982.3,6585.8578019999995,95.3,19.8,117.1,128.5,158.5
1,0x1c00,99817.4,6463.71372,97.6,31.5,120.2,130.7,161.0
2,0xc00,99875.5,6694.643067,91.1,25.3,114.7,126.7,160.9
2,0x1100,99714.2,6625.122404,90.3,23.5,114.0,126.1,158.4
2,0x1500,99926.7,6624.859799,91.4,24.1,115.0,127.3,161.5
2,0x1900,99885.7,6688.065559,89.0,22.6,112.3,123.7,154.8
2,0x1c00,99852.9,6690.622069,91.7,22.8,115.6,127.3,161.9
20,0xc00,99792.1,6448.741758,97.0,26.8,118.2,128.7,158.3
20,0x1100,99943.8,6436.067666,97.2,21.1,119.4,130.8,162.3
20,0x1500,99954.3,6440.805658,96.4,21.1,117.5,128.2,158.7
20,0x1900,99717.4,6419.586564,97.4,31.0,118.9,129.5,159.2
20,0x1c00,99879.5,6492.720378999999,97.0,21.9,119.1,129.7,160.4
50,0xc00,99879.9,6350.954183,107.9,24.8,137.0,147.5,170.3
50,0x1100,99961.6,6359.963578,107.5,26.6,136.7,147.0,169.1
50,0x1500,99945.6,6387.869309,106.5,31.4,135.7,145.6,168.7
50,0x1900,99952.1,6429.692617,107.7,27.3,137.2,147.8,170.9
50,0x1c00,99718.9,6363.340416,107.0,26.6,136.3,147.0,170.1
100,0xc00,99893.8,6318.100071,135.6,40.4,183.1,192.6,212.8
100,0x1100,99978.6,6324.083317,136.7,40.0,184.1,194.4,212.6
100,0x1500,99931.8,6414.446521,134.9,41.7,182.3,191.2,210.4
100,0x1900,100020.6,6353.663315,135.0,43.3,182.4,190.9,210.1
100,0x1c00,100019.2,6393.95656,134.4,35.5,182.3,191.1,208.7
150,0xc00,99836.9,6240.849305,166.5,50.2,229.8,243.5,266.8
150,0x1100,99882.4,6262.579152,166.5,50.5,229.9,243.4,266.2
150,0x1500,99843.9,6298.0358289999995,167.1,54.1,230.6,243.9,267.4
150,0x1900,99880.0,6242.77172,166.5,51.9,230.2,243.9,266.7
150,0x1c00,99863.5,6254.68197,166.3,54.3,230.3,243.8,266.6
200,0xc00,99974.4,6176.294957,196.4,66.1,278.4,294.2,318.6
200,0x1100,99838.2,6201.173868,196.6,62.6,277.5,294.1,320.6
200,0x1500,99924.7,6218.438088,197.4,62.4,279.6,294.9,320.6
200,0x1900,99901.9,6191.167977,195.8,61.2,276.7,293.2,317.2
200,0x1c00,100001.6,6229.855031,196.4,61.9,278.5,294.2,319.3
250,0xc00,99810.5,6122.399322,225.2,75.6,325.1,342.2,366.1
250,0x1100,99904.2,6157.719664,224.9,74.8,325.2,342.7,366.6
250,0x1500,99990.8,6129.489352,224.5,75.0,324.9,341.8,365.9
250,0x1900,99810.1,6144.164305,227.3,75.3,327.5,346.0,367.3
250,0x1c00,99820.1,6125.689235,222.9,75.2,323.8,339.5,365.2
300,0xc00,99934.5,6065.654011,252.3,89.0,371.6,391.2,418.1
300,0x1100,99932.3,6073.643364,252.3,88.9,372.1,391.3,416.8
300,0x1500,99988.7,6102.458544,253.9,88.9,373.7,392.7,423.5
300,0x1900,99893.9,6073.853509,253.2,89.2,373.4,392.3,421.1
300,0x1c00,100015.6,6151.252139,253.6,88.4,373.6,392.6,422.9
350,0xc00,99753.4,6050.758909,283.4,102.7,421.7,439.9,480.5
350,0x1100,99850.2,6053.186282,286.0,102.9,423.0,440.9,482.3
350,0x1500,100059.7,6086.179535,282.0,103.2,420.8,439.4,480.8
350,0x1900,99819.2,6053.9831859999995,284.8,102.8,423.1,441.3,482.5
350,0x1c00,99906.8,6088.383953,281.7,102.5,420.8,439.5,480.5
400,0xc00,99911.3,6051.965611,317.5,119.0,475.6,503.9,561.8
400,0x1100,99954.8,6060.828301,317.0,118.5,473.9,499.7,554.0
400,0x1500,99864.0,6077.5302839999995,316.8,118.7,474.9,502.2,558.9
400,0x1900,99777.2,6077.398829,319.4,118.4,476.5,505.1,561.3
400,0x1c00,99912.3,6160.0444959999995,316.6,118.2,474.5,501.7,553.0
