itrd,dvfs,peak_qps,pkg_joules,avg_read,std_read,90th_read,95th_read,99th_read
1,0xc00,399879.0,11457.746937,77.9,19.5,95.6,105.2,136.0
1,0x1100,399829.6,11466.287303,77.7,18.9,95.4,105.5,136.3
1,0x1500,400069.1,11501.015518,78.4,17.6,96.4,106.2,137.1
1,0x1900,399861.8,11513.834363,78.7,17.3,96.8,106.8,139.7
1,0x1c00,399854.9,11538.1744,79.3,19.5,98.0,108.2,142.3
2,0xc00,399988.9,11583.93599,76.0,22.6,97.1,111.2,155.2
2,0x1100,399782.5,11544.009111,75.1,21.2,96.2,109.2,152.5
2,0x1500,399921.7,11563.432853,75.8,20.9,97.5,111.6,155.2
2,0x1900,399628.0,11562.992433,76.2,21.7,98.1,113.1,158.7
2,0x1c00,399856.0,11549.2215,77.4,23.1,99.9,114.1,160.5
20,0xc00,399979.9,11519.029123,79.6,19.3,96.8,106.0,134.5
20,0x1100,399830.5,11479.990647999999,78.4,17.7,95.6,104.4,130.5
20,0x1500,399765.5,11470.888716,80.2,18.6,97.5,106.2,134.8
20,0x1900,400212.9,11482.413629,79.0,16.7,96.3,105.4,132.2
20,0x1c00,399582.6,11487.159795,79.0,16.7,96.3,105.3,133.5
50,0xc00,399788.9,11292.203429,96.2,20.3,119.0,126.5,146.9
50,0x1100,399668.0,11347.988844,96.8,21.0,120.3,127.2,147.3
50,0x1500,399880.7,11315.912116,94.9,19.8,117.3,125.5,143.1
50,0x1900,399857.2,11286.654442,95.8,20.8,118.1,126.1,144.3
50,0x1c00,399875.4,11299.267717,94.9,20.1,117.3,125.5,143.9
100,0xc00,399614.7,10712.884904,121.4,31.6,161.9,169.7,186.1
100,0x1100,399923.8,10682.915543,120.7,32.1,161.0,169.1,186.1
100,0x1500,399983.3,10707.632377,121.2,30.9,161.5,169.3,185.8
100,0x1900,399948.5,10635.38355,120.3,30.9,160.4,168.7,185.3
100,0x1c00,399862.8,10661.363632999999,121.2,31.0,161.5,169.4,185.9
150,0xc00,399947.5,10134.588373,149.4,44.1,207.4,220.7,242.3
150,0x1100,399939.5,10120.591557,148.7,44.8,207.3,220.6,242.2
150,0x1500,399819.7,10149.433577,149.7,44.7,207.7,221.1,243.6
150,0x1900,400099.4,10163.195787,148.8,45.4,207.2,220.4,242.2
150,0x1c00,399863.9,10153.37192,148.2,44.5,206.7,220.0,241.6
200,0xc00,399542.6,9761.778821,179.0,59.0,257.7,272.0,299.6
200,0x1100,399885.2,9745.007786,177.8,58.6,256.4,271.3,299.3
200,0x1500,399998.0,9768.926252,178.4,59.3,257.5,271.7,299.3
200,0x1900,399822.4,9729.793044,180.9,59.9,260.7,274.5,302.5
200,0x1c00,399923.0,9798.019592,179.7,60.5,258.8,272.7,300.5
250,0xc00,399833.7,9448.01794,207.2,73.6,302.6,323.7,358.5
250,0x1100,399829.6,9378.319035,209.3,74.6,304.5,325.7,361.4
250,0x1500,399995.0,9439.470681,207.1,73.0,302.8,323.0,356.8
250,0x1900,400027.4,9402.529142,207.9,74.0,303.6,324.7,360.2
250,0x1c00,399926.5,9424.570577,207.2,74.4,303.4,324.2,359.0
300,0xc00,399833.5,9017.253508,234.0,89.1,351.0,368.1,404.4
300,0x1100,399917.2,9045.720621999999,235.1,87.6,351.4,369.3,405.1
300,0x1500,399735.9,8967.187392,238.7,88.4,354.3,374.5,416.1
300,0x1900,399963.6,9016.935576,239.6,88.0,355.7,377.0,416.8
300,0x1c00,399810.7,9080.043674999999,239.2,87.7,354.9,376.0,414.1
350,0xc00,399925.6,8613.932366,274.1,102.0,405.0,433.4,479.7
350,0x1100,400013.6,8563.3325,269.5,103.2,401.5,429.1,474.7
350,0x1500,400057.3,8636.930769,271.5,102.7,402.4,430.2,476.5
350,0x1900,399779.2,8681.429354,269.4,103.5,402.0,429.9,476.6
350,0x1c00,399853.7,8660.75499,270.9,102.6,402.3,430.2,476.8
400,0xc00,399877.1,8182.834996,304.7,116.8,455.1,481.7,530.6
400,0x1100,399558.0,8164.3515689999995,300.7,116.6,451.1,479.1,528.8
400,0x1500,400100.4,8291.633437,303.9,116.2,453.9,480.9,529.9
400,0x1900,399971.1,8296.649772,299.1,118.8,450.8,479.0,529.8
400,0x1c00,399896.9,8290.008275,301.5,117.4,452.8,480.3,530.9
