itrd,dvfs,peak_qps,pkg_joules,avg_read,std_read,90th_read,95th_read,99th_read
1,0xc00,600035.2,12121.087289,95.1,36.0,133.3,161.5,238.5
1,0x1100,599936.8,12138.813218,93.4,35.2,129.9,160.1,237.3
1,0x1500,599822.0,12147.317045,94.0,36.6,131.6,161.7,242.4
1,0x1900,599881.0,12148.743835,93.2,37.9,130.0,159.3,236.2
1,0x1c00,600035.1,12151.720635,95.3,38.1,133.9,165.1,244.0
2,0xc00,599920.7,12196.12467,98.4,50.3,153.4,197.7,301.3
2,0x1100,599864.4,12128.962877,97.5,49.5,151.1,194.3,299.8
2,0x1500,599738.8,12162.390816,98.6,48.9,153.7,197.0,300.8
2,0x1900,599916.7,12173.941593,98.7,50.1,152.2,197.5,302.7
2,0x1c00,599747.2,12187.393984,99.7,50.1,154.6,198.7,308.1
20,0xc00,599584.0,12205.727412,95.0,35.3,130.2,159.9,237.7
20,0x1100,599791.8,12168.702791,94.0,35.1,127.2,154.8,230.9
20,0x1500,599613.8,12157.165982999999,94.3,34.0,128.3,154.9,232.0
20,0x1900,599828.8,12161.808144,93.5,33.5,127.2,152.7,221.8
20,0x1c00,599712.2,12171.300598,95.9,34.8,132.1,159.5,233.3
50,0xc00,599995.4,12061.999822,105.0,29.0,134.9,151.1,202.5
50,0x1100,599699.3,12065.17597,106.1,29.9,136.6,152.9,206.5
50,0x1500,599862.1,12047.335665999999,105.2,28.0,135.0,151.3,200.5
50,0x1900,599943.5,12043.233232999999,104.3,27.8,133.7,150.0,199.1
50,0x1c00,600227.3,12045.186453,105.4,28.8,135.3,151.5,200.4
100,0xc00,599954.0,11442.601674,126.8,32.9,168.3,179.5,202.1
100,0x1100,599540.5,11448.791039,126.1,33.0,167.6,178.4,200.5
100,0x1500,599825.9,11442.752527,126.5,32.4,168.0,179.2,201.9
100,0x1900,599668.7,11425.690217,126.9,32.9,168.2,179.3,202.1
100,0x1c00,599864.6,11442.028518,126.8,32.4,168.1,179.2,201.9
150,0xc00,599908.0,10939.412674,150.0,44.4,207.5,221.4,245.1
150,0x1100,599715.4,10928.523625,149.9,44.5,207.5,221.5,245.1
150,0x1500,599705.8,10921.902685,149.5,44.1,207.2,221.0,243.9
150,0x1900,599767.7,10975.658264,151.5,44.9,209.4,222.7,246.4
150,0x1c00,600106.5,10921.078636,149.1,44.3,207.0,221.0,244.8
200,0xc00,599857.2,10469.591162,174.9,58.6,251.3,268.3,296.7
200,0x1100,599647.3,10499.609079,175.8,58.3,251.6,268.5,296.6
200,0x1500,599729.2,10505.833641,174.6,58.3,250.1,266.9,294.8
200,0x1900,599944.8,10485.135853,175.1,58.3,251.2,267.9,295.5
200,0x1c00,599709.9,10549.708989,175.9,57.9,251.9,268.2,295.5
250,0xc00,599607.2,10017.229985,205.1,72.5,299.5,319.4,353.2
250,0x1100,599635.5,9964.885275,205.5,72.5,299.8,319.9,354.8
250,0x1500,599914.6,9943.817826999999,205.9,73.1,300.7,321.0,355.9
250,0x1900,599945.6,9985.100797,205.1,73.3,299.8,319.5,352.5
250,0x1c00,599760.4,9925.264616,205.6,72.6,299.6,319.5,353.5
300,0xc00,599512.0,9013.094833,245.6,87.5,357.4,378.6,415.0
300,0x1100,599896.3,9055.282555,242.6,87.5,354.4,373.3,405.0
300,0x1500,599795.9,8915.705649,247.3,87.6,358.7,380.6,419.3
300,0x1900,599862.8,9103.107409,245.0,87.0,356.3,376.8,406.7
300,0x1c00,599853.0,9135.949504,241.3,87.3,353.6,371.1,404.8
350,0xc00,540810.6,8320.07304,286.8,100.5,412.4,435.8,478.6
350,0x1100,541288.0,8226.526124,285.1,100.5,409.2,433.2,475.8
350,0x1500,541030.1,8258.570644,279.8,100.7,405.9,431.6,473.8
350,0x1900,540824.7,8211.699281,278.8,101.5,405.2,431.2,474.3
350,0x1c00,541121.6,8242.477807,281.5,100.5,407.1,431.9,473.4
400,0xc00,474006.2,7804.546851,315.8,114.9,461.1,484.0,530.5
400,0x1100,474241.6,7877.583249,312.8,116.1,461.0,483.5,530.2
400,0x1500,473417.7,7924.170657,319.8,116.9,464.2,486.3,532.7
400,0x1900,474152.6,7827.62065,316.9,115.3,461.6,483.7,529.8
400,0x1c00,474014.3,7895.168024,315.5,115.0,460.8,483.4,530.1
