itrd,dvfs,peak_qps,pkg_joules,avg_read,std_read,90th_read,95th_read,99th_read
1,0xc00,799778.1,12341.746432,109.9,51.8,170.3,215.3,317.6
1,0x1100,799725.8,12375.054933,108.3,52.9,169.0,214.9,315.8
1,0x1500,799835.3,12390.441024,109.4,53.4,170.0,215.0,320.4
1,0x1900,799927.8,12392.417851,112.7,53.1,175.8,220.7,320.9
1,0x1c00,799866.0,12391.023513,109.2,54.0,170.7,216.5,318.2
2,0xc00,799929.2,12424.879916,114.8,68.3,193.6,255.3,394.0
2,0x1100,799725.7,12392.947209,120.2,74.1,209.9,277.6,410.1
2,0x1500,800084.7,12378.370832,119.9,72.1,207.3,271.6,401.5
2,0x1900,799736.7,12372.153895,120.9,74.5,211.2,276.0,407.2
2,0x1c00,800091.9,12385.200574999999,120.0,73.9,209.5,276.4,415.6
20,0xc00,799412.1,12463.419899,107.8,49.2,166.2,207.4,303.5
20,0x1100,799557.1,12413.255573,111.5,52.2,173.9,215.8,317.2
20,0x1500,799552.6,12390.544419,107.3,48.3,163.2,202.0,298.2
20,0x1900,799886.2,12391.693537,113.4,55.7,179.9,226.4,332.9
20,0x1c00,799500.0,12410.729745999999,107.0,47.5,163.3,204.2,294.9
50,0xc00,799843.9,12271.967861,119.9,42.4,167.4,198.6,276.5
50,0x1100,799715.5,12275.411006,115.4,37.8,156.8,183.7,250.1
50,0x1500,799656.3,12290.015626,116.4,39.0,158.9,186.9,259.3
50,0x1900,800019.3,12268.651779,114.2,36.7,155.0,182.8,248.2
50,0x1c00,799711.2,12290.92538,118.8,39.6,165.6,193.8,263.6
100,0xc00,799733.3,11845.369912,132.5,36.2,177.1,188.9,227.8
100,0x1100,799555.6,11801.099284,132.7,37.0,177.2,188.9,228.9
100,0x1500,799849.7,11812.769925999999,132.1,37.0,177.1,188.8,228.6
100,0x1900,799907.1,11783.730388,131.6,37.7,175.6,187.8,225.6
100,0x1c00,799807.9,11810.728133999999,132.0,37.8,176.1,188.3,228.8
150,0xc00,799689.7,11283.974285,152.1,45.1,210.7,224.9,250.5
150,0x1100,799984.0,11267.932993,152.6,46.5,211.2,225.0,250.6
150,0x1500,799876.0,11303.655874,153.4,45.9,212.4,225.6,251.1
150,0x1900,799887.6,11294.945013,153.0,45.4,212.0,225.5,250.9
150,0x1c00,799838.8,11290.534713,152.6,45.2,212.2,225.3,250.2
200,0xc00,799481.2,10700.041049,177.9,58.3,253.0,269.1,297.6
200,0x1100,799843.6,10663.178931999999,176.8,58.0,252.7,269.0,296.9
200,0x1500,799787.5,10682.41455,176.3,58.7,251.4,268.0,295.9
200,0x1900,799751.9,10647.656689,177.3,57.9,252.4,269.0,297.2
200,0x1c00,799598.5,10650.31757,176.5,58.0,251.9,268.2,296.0
250,0xc00,755266.6,9678.151663999999,212.0,72.6,303.9,323.0,354.6
250,0x1100,755459.8,9606.784165,213.1,71.5,304.1,323.0,353.1
250,0x1500,755174.1,9596.601557,213.5,71.7,304.5,323.5,354.9
250,0x1900,755469.5,9720.278447,212.1,72.2,303.7,322.7,353.5
250,0x1c00,755558.0,9680.307099,211.6,72.2,303.8,322.9,353.8
300,0xc00,630118.5,8734.609093,248.3,87.6,357.7,378.7,411.7
300,0x1100,630302.7,8810.331321,252.2,86.1,360.2,381.8,414.0
300,0x1500,629555.9,8792.40458,247.5,87.6,358.3,379.2,414.0
300,0x1900,630142.4,8860.488632,247.5,87.5,357.3,377.0,409.5
300,0x1c00,630008.5,8694.658302,246.4,86.7,356.9,376.7,405.0
350,0xc00,541179.9,8256.788285,279.4,101.4,405.4,431.3,475.2
350,0x1100,540797.5,8258.871862,275.7,101.3,403.4,429.0,470.7
350,0x1500,540248.5,8346.756575,279.3,104.6,407.6,433.2,478.9
350,0x1900,540856.6,8203.784836,282.6,102.0,408.0,433.5,477.9
350,0x1c00,540998.3,8280.875233,281.4,101.2,407.4,432.1,473.9
400,0xc00,474146.0,7843.439230999999,317.0,114.4,460.6,483.0,529.5
400,0x1100,474138.8,7794.069491,312.3,115.3,458.3,482.2,529.6
400,0x1500,473819.4,7851.855278999999,314.3,116.0,460.3,482.7,530.0
400,0x1900,473704.3,7919.073436,312.0,116.9,458.2,482.0,529.2
400,0x1c00,474024.1,7770.396672,318.2,115.2,462.3,484.9,530.9
