itrd,dvfs,peak_qps,pkg_joules,avg_read,std_read,90th_read,95th_read,99th_read
1,0xc00,999908.6,12412.809785,116.5,57.4,186.0,231.6,339.5
1,0x1100,999575.5,12483.172919,120.0,59.8,190.8,240.5,355.6
1,0x1500,999890.3,12524.431428,118.1,57.8,186.8,233.5,344.2
1,0x1900,999691.8,12532.909147,118.2,59.8,189.3,236.7,350.1
1,0x1c00,1000127.7,12519.459318,124.8,64.4,203.2,255.3,371.4
2,0xc00,999295.0,12555.235391,130.4,85.8,227.1,296.1,452.6
2,0x1100,999814.0,12529.538226,131.5,84.2,228.5,298.1,454.3
2,0x1500,999193.9,12519.587357,133.8,85.9,235.3,309.1,472.0
2,0x1900,999278.0,12514.034344,129.5,79.0,223.3,292.0,443.3
2,0x1c00,999443.0,12479.662979,135.7,87.4,238.3,318.2,490.0
20,0xc00,999838.8,12539.767743,119.2,59.5,191.5,239.9,346.1
20,0x1100,999568.5,12483.837392,119.2,59.7,193.1,240.6,352.1
20,0x1500,999873.4,12527.716887999999,119.3,59.4,193.6,240.4,343.1
20,0x1900,999575.1,12517.600403999999,115.7,56.8,182.6,228.1,333.0
20,0x1c00,999798.2,12483.377391,120.7,60.5,196.5,244.7,355.1
50,0xc00,999852.3,12347.149202,123.4,47.2,177.4,208.2,296.1
50,0x1100,999767.3,12411.8164,124.0,44.7,177.3,208.3,285.2
50,0x1500,999858.2,12392.583222,122.3,43.5,174.6,205.5,277.2
50,0x1900,1000051.4,12396.191859999999,122.9,46.6,176.7,207.9,290.8
50,0x1c00,999811.4,12372.607125,121.6,45.9,172.7,204.9,289.1
100,0xc00,999753.3,11946.240244,137.4,41.1,184.8,202.6,259.3
100,0x1100,999719.0,11951.144705,137.0,39.6,184.2,201.3,250.8
100,0x1500,999874.5,11923.021752999999,135.9,41.6,182.8,199.8,250.7
100,0x1900,999582.9,11942.320201,136.6,41.1,183.8,201.0,258.9
100,0x1c00,999696.7,11934.480969,135.9,41.2,182.9,199.9,254.9
150,0xc00,999789.5,11431.425193,154.6,46.3,214.4,227.2,256.0
150,0x1100,999539.7,11463.127137,155.3,48.7,215.1,227.5,262.7
150,0x1500,999985.9,11412.112532,154.9,46.1,214.1,227.1,259.0
150,0x1900,999825.1,11446.246912,154.5,46.4,213.6,226.9,255.7
150,0x1c00,1000026.3,11431.591052,153.9,44.9,212.4,226.0,254.1
200,0xc00,941987.7,10496.757939,178.1,57.0,252.4,267.3,291.1
200,0x1100,941928.4,10499.452065,181.1,56.4,256.0,269.8,296.6
200,0x1500,942062.7,10491.481317,178.7,58.1,253.8,268.3,293.9
200,0x1900,942359.3,10470.73662,178.9,56.5,253.4,267.9,292.7
200,0x1c00,942186.2,10482.219748,178.6,57.0,254.0,268.1,292.6
250,0xc00,755175.4,9623.169192,213.3,72.5,305.0,324.3,357.2
250,0x1100,755301.1,9642.427624,214.5,71.9,306.4,325.4,358.7
250,0x1500,755659.3,9684.051766999999,211.8,72.3,303.3,322.3,353.0
250,0x1900,755215.4,9627.389904,211.8,73.1,303.7,323.2,355.9
250,0x1c00,755516.9,9621.400558,213.3,71.4,304.3,323.5,355.1
300,0xc00,629899.6,8844.287764,252.5,85.4,360.1,381.7,413.5
300,0x1100,630306.9,8836.142312,246.7,87.4,356.5,375.2,405.1
300,0x1500,630130.4,8876.086027,250.5,86.8,359.3,380.7,411.4
300,0x1900,630445.5,8848.672444,249.2,86.6,357.9,378.5,405.6
300,0x1c00,630541.5,8935.620014,248.3,85.9,357.5,377.6,405.0
350,0xc00,541413.5,8247.432959,278.8,100.8,405.2,430.9,473.5
350,0x1100,540563.6,8244.106812,288.0,100.8,412.2,435.4,478.4
350,0x1500,541706.7,8281.106545,274.8,101.4,402.9,428.3,468.3
350,0x1900,540828.3,8237.760189,283.2,100.8,407.5,432.7,476.6
350,0x1c00,540804.9,8239.424391,284.4,100.7,408.7,434.0,477.2
400,0xc00,473602.2,7921.777566,320.9,115.4,464.8,487.3,533.5
400,0x1100,474212.1,7743.585951999999,318.7,113.8,462.0,483.9,529.6
400,0x1500,473645.6,7890.420394,311.0,117.0,460.1,483.1,531.3
400,0x1900,474319.4,7782.226341,318.3,115.0,463.4,485.3,531.3
400,0x1c00,473641.9,7862.380097,319.2,114.8,464.1,486.5,533.2
