,rx_bytes_sum,instructions_sum,cycles_sum,ref_cycles_sum,llc_miss_sum,num_interruptions,duration,active_cores
0,602,25036,230450,499304,681,3,0.005955490329479424,2
1,4974,1869171,6392069,13849316,12508,28,0.009577351578397095,12
2,4234,0,0,0,0,16,3.7066219678006784e-05,16
3,643281,72577521,149404476,323708528,203180,164,0.009671728162664884,16
4,785081,85012357,165319762,358191262,138320,176,0.009533378459785675,16
5,767906,85666591,166173455,360040954,123028,176,0.009757833019942421,16
6,752644,84805744,162743930,352611636,104534,174,0.009581621924697215,16
7,779894,89551350,171123935,370767696,109135,176,0.009833084080373821,16
8,809548,85822571,163101133,353385032,106361,175,0.009841586152271087,16
9,760822,85655219,165094539,357704308,124107,176,0.00989349996327585,16
10,778574,85580844,164572273,356573022,119531,176,0.009840483393270136,16
11,770208,87897069,168379640,364821730,113205,175,0.009923686180581441,16
12,816066,86379864,166181859,360059258,124947,175,0.009950359293227342,16
13,815036,87410860,168108420,364233948,145182,174,0.009701281965959298,16
14,884807,88296785,168870480,365884714,126702,175,0.009794218549730534,16
15,804542,87522975,168528830,365144624,118021,176,0.009821404766001643,16
16,802345,89421805,169950373,368225754,117672,176,0.009769326817009247,16
17,828188,89438230,170927319,370341634,113908,176,0.009784144063497953,16
18,841871,90218994,171781451,372192522,97697,176,0.009851633741942669,16
19,823714,89798138,170258200,368892654,104127,176,0.009871764093711757,16
20,845588,91586040,172944322,374712468,99111,176,0.009861442021186904,16
21,851889,89735831,169412779,367061578,92011,176,0.009908983416890834,16
22,854594,90511662,170551829,369528874,102436,176,0.00992096686929892,16
23,817901,90369540,171052844,370613672,94457,176,0.009970895852033052,16
24,815787,90309534,170720326,369893862,87407,176,0.009999217930764803,16
25,809630,77707694,147224979,318987292,94132,170,0.00999462758435434,16
26,796191,89915733,169179419,366554370,105510,172,0.009999553103294173,16
27,838209,88978807,168163622,364354744,89874,174,0.009887205478346716,16
28,813588,90268011,169816887,367936270,92989,176,0.009910964107229003,16
29,830423,90777946,172077146,372833474,87588,176,0.00989966479298786,16
30,794097,91839914,173066035,374975926,104692,176,0.009909679279199751,16
31,843303,88047687,168182544,364394680,106289,176,0.009907838588909859,16
32,845742,89280531,169649205,367572166,113009,176,0.009894897894792377,16
33,803189,88921569,168604170,365308008,120252,176,0.009968412402900828,16
34,812055,88784529,169772017,367837834,131188,175,0.009793091652790225,16
35,846317,88177063,167429203,362762738,126993,176,0.00984897925826871,16
36,841365,91363395,172585954,373935276,118606,176,0.009885095822446835,16
37,809843,90672289,171791030,372212542,111271,175,0.009947624119870387,16
38,871466,91258449,170099439,368548102,125757,173,0.009933211011452073,16
39,862638,92611780,170864201,370205108,155721,174,0.009932231011114142,16
40,796467,91544249,168969674,366100098,127626,175,0.00987955513088108,16
41,820165,92538021,173373713,375642670,134043,174,0.009923635835736496,16
42,872223,95146422,175978649,381286568,148303,175,0.009925757905433761,16
43,858925,90364254,169964557,368255394,143398,171,0.009895537895013067,16
44,828603,93596068,172195688,373090380,134665,175,0.00998108344175291,16
45,835841,94867700,177002057,383504368,133578,175,0.009982602062966228,16
46,835814,92429106,172969275,374765664,132008,173,0.009828544078808303,16
47,840625,93626987,174811254,378756300,151281,176,0.009969521368800471,16
48,822218,91892620,172267419,373244846,165852,174,0.009948514465004988,16
49,816825,90994434,170613643,369662046,155533,176,0.009948798603034001,16
50,843311,94215479,175405449,380044600,144195,176,0.009952893087204514,16
51,820417,93566262,174790389,378711580,142314,176,0.009930470320851835,16
52,819706,92234381,170549960,369523778,127573,175,0.00992291583548822,16
53,841702,94043479,174518898,378123616,129113,174,0.009910342727704389,16
54,840389,92644793,172708931,374201412,154618,172,0.009954488949823776,16
55,825282,91808026,171299348,371148154,139704,173,0.00994171308334934,16
56,824316,90900661,170904724,370292832,148349,172,0.009974879301682518,16
57,813705,90647323,170408494,369217628,157283,174,0.009944656532640183,16
58,821001,93171805,174067732,377146198,141201,175,0.009940233772494405,16
59,832859,91973434,172683986,374147566,149716,175,0.009887101340379772,16
60,890136,96240716,177672699,384957066,129527,176,0.009926722733352667,16
61,814254,91710871,171549654,371690436,131070,174,0.009685553684673684,16
62,787662,91381600,170555349,369535582,157496,173,0.009888616513316038,16
63,820815,90487430,169377954,366984774,153119,174,0.00983485304650105,16
64,823088,92119316,173043760,374926708,160351,176,0.009896123412456348,16
65,814759,92342349,172387953,373506224,157649,175,0.00993213445935671,16
66,838215,90464791,169137471,366463344,170293,175,0.00997750895776171,16
67,789236,92003889,173002841,374838282,143324,174,0.009927793078549338,16
68,826051,92602349,171429541,371429916,139907,175,0.009930981355510812,16
69,806129,93242808,174368669,377798174,124723,173,0.009949542741221635,16
70,805401,91751079,169679232,367637842,123614,173,0.00996728274733888,16
71,813092,91791427,171481251,371541430,131808,173,0.009967408264623539,16
72,854087,92927461,172975280,374779184,143255,173,0.00999798689585755,16
73,821622,84468346,157401564,341036384,124613,162,0.009835220632834702,16
74,820119,86607212,162745769,352614860,124931,166,0.009969886196512482,16
75,835611,92222600,172027264,372724690,147937,175,0.009904102725552665,16
76,825119,89988837,169198280,366595294,148501,174,0.009876700647138154,16
77,841944,91858391,172137576,372964098,139192,172,0.009880203406966692,16
78,820330,94829326,175467615,380179696,144211,175,0.009864717194730067,16
79,841172,93382535,174914376,378980264,141160,176,0.009899999275861819,16
80,833630,93258467,173352927,375597534,144712,174,0.009900740655427813,16
81,851979,91912392,167984499,363965862,139028,176,0.009885708236451116,16
82,819939,93811932,173761694,376482730,157930,175,0.009906191691790238,16
83,825531,93405980,174857459,378856894,144049,174,0.00988303375277026,16
84,807516,93533827,172509970,373771034,134310,173,0.009983408270140782,16
85,866375,92471064,171178674,370886672,128955,169,0.00999398551516742,16
86,824989,89124338,166887770,361589670,132799,169,0.009956886192029722,16
87,813632,91401910,171126919,370774248,152654,172,0.009774183370408059,16
88,811659,93264402,172327328,373374976,147673,174,0.00981153372811508,16
89,832758,91783825,171229717,370996704,154212,176,0.009945236532840183,16
90,806922,91971146,171123878,370767670,144056,175,0.009913157901088931,16
91,809463,92617577,173996175,376990900,166129,175,0.009915115143143152,16
92,799766,90471020,168925911,366005458,139836,173,0.00992090135203495,16
93,818635,89551753,165684577,358982390,127974,173,0.009985422753594052,16
94,839636,91862813,170193351,368751266,133852,171,0.009975471026024491,16
95,859329,94837833,176203913,381773912,135508,173,0.009953224811456832,16
96,835692,94900815,174902205,378954290,125199,174,0.009969010334141494,16
97,796465,91879692,170056814,368455594,129539,172,0.009984087580719855,16
98,801292,90624328,168660593,365430624,145722,172,0.009961015848626154,16
