,rx_bytes_sum,instructions_sum,cycles_sum,ref_cycles_sum,llc_miss_sum,num_interruptions,duration,active_cores
0,426,0,0,0,0,1,0.0,1
1,3080,658552,2775598,2906124,3454,20,0.0052455173260404575,13
2,3286,101714,556885,650364,669,15,0.0018512068452437398,12
3,2660,0,0,0,0,16,4.666001608966072e-05,16
4,640980,89907306,196404218,183178320,226986,163,0.009657304364587713,16
5,773659,96417649,198020509,183870830,117349,176,0.00990244203532484,16
6,762080,91920959,185035193,171814240,86477,168,0.009719976799992,16
7,794216,94078609,190743311,177114808,83058,168,0.009738822323731836,16
8,779951,93825123,188649912,175172010,77133,173,0.009734806805105795,16
9,773199,88146115,174822858,162334796,67173,176,0.00973421508076382,16
10,829560,87090792,171879798,159602612,85566,176,0.009794799929241356,16
11,770522,86705184,171045081,158828072,64822,176,0.009797484757753364,16
12,775831,91320495,180259746,167382982,77791,176,0.009779266820436835,16
13,803868,92821448,183635318,170517360,71961,176,0.009904201346276327,16
14,837850,93841451,183525072,170414946,85597,176,0.009861450986707238,16
15,861883,95368405,185831005,172557424,71239,176,0.00988015478626027,16
16,813013,93922254,183090103,170012154,65383,176,0.009935307563899159,16
17,836943,95873728,187727143,174317442,72447,176,0.009944283084235546,16
18,823850,94890283,185796028,172523286,66926,176,0.009944566187781443,16
19,837613,94084986,183907060,170769612,69632,175,0.009938770323713904,16
20,873209,95612332,187175903,173805554,72277,176,0.009962912401004276,16
21,837159,94477677,183322123,170227798,66306,176,0.009966398264275263,16
22,823955,93301535,180289550,167412544,63089,176,0.009983762408193934,16
23,791550,90183322,176036463,163462130,59540,175,0.00984767960264814,16
24,784775,93068349,181356622,168403664,67137,176,0.009923552042604153,16
25,848559,96196036,187464253,174073562,69226,176,0.009990590341582877,16
26,828154,95165337,185273109,172038386,67869,176,0.009907041347255638,16
27,850587,96149554,186634440,173301856,70496,176,0.009960064468987747,16
28,825462,94767647,185358761,172117426,65168,176,0.009881076510716038,16
29,849250,97447834,191682786,177989188,71241,176,0.009903273759749573,16
30,847319,95614907,188251127,174803642,70501,176,0.00999781413717729,16
31,840356,94730582,183741696,170617174,69279,175,0.009968931368597023,16
32,817724,93059482,181229959,168283960,66151,174,0.009908312382176683,16
33,847762,93789856,183486169,170379300,65330,176,0.009962135504184656,16
34,820986,96053021,188099330,174662150,68482,175,0.009978418958075504,16
35,835985,96136332,188166395,174724628,73810,174,0.009947672050921397,16
36,805077,95232050,185970613,172685526,75165,173,0.009995003101725207,16
37,843419,100271712,195940881,181941760,81413,172,0.009987466202574553,16
38,866530,102304012,198063769,183913912,83272,174,0.009761672676438854,16
39,803037,95144422,187022440,173663152,75298,176,0.009903811001314138,16
40,806137,101215526,200628797,186294784,97341,176,0.009974584473994645,16
41,861020,102368984,203601289,189052734,83890,172,0.009976608957451364,16
42,845845,96438189,191836043,178130524,69267,164,0.009982039993806894,15
43,812641,95423198,188376769,174919030,72754,164,0.00999931551700535,15
44,858403,98503806,195783798,181795952,72682,164,0.009877749957844814,15
45,884275,97798451,193109489,179313758,72326,165,0.009918914799625794,15
46,814598,105745603,207388868,192570794,96294,174,0.009975587922616526,16
47,821212,104475403,202039864,187605080,88467,174,0.00995938205495933,16
48,846644,105791900,204119739,189536906,89545,174,0.00998771827162699,16
49,833918,106828298,206900163,192117432,83389,175,0.009878393406342554,16
50,834555,104738162,203860236,189294300,89192,171,0.009942745152670742,16
51,803402,97151976,192543159,178786478,76769,165,0.009920678938165152,15
52,815311,95845009,191066222,177415550,75228,165,0.00994269032506563,15
53,832462,95869905,188580133,175108284,71800,164,0.009922876525129836,15
54,810889,94886535,188355124,174897970,71011,165,0.009962904469967058,15
55,842537,98877767,194462967,180569558,70318,165,0.009969232403183587,15
56,813750,94646559,187373168,173986410,68589,165,0.009985435167391437,15
