,rx_bytes_sum,instructions_sum,cycles_sum,ref_cycles_sum,llc_miss_sum,num_interruptions,duration,active_cores
0,912,276637,1075564,2330380,2148,6,0.008175209715589557,3
1,112204,429240,1047957,2270736,2761,17,0.00995038274151129,12
2,980,143332,698025,1512420,1019,14,0.0014338342875290647,11
3,2660,228437,1274236,2760758,2141,19,0.002655384363925643,14
4,1028981,81765701,159565009,345723118,236558,163,0.0094091935893771,16
5,1377026,99794313,181903817,394124354,192453,176,0.009754082673821612,16
6,1367146,104671963,187320345,405860702,142061,176,0.00977925233767322,16
7,1359035,107756879,188978124,409452524,129478,176,0.009778877854785466,16
8,1324092,88749243,162768927,352665898,143868,168,0.009669586092960722,16
9,1389786,96021772,176421154,382245292,158223,169,0.009883619270213542,16
10,1399572,96061311,169981938,368294004,135229,164,0.009558179847648224,16
11,1500337,105364751,186747918,404620424,150103,176,0.009646654360915297,16
12,1426557,105678068,183470025,397518238,129498,175,0.009795055101743139,16
13,1392611,102471280,183244073,397028580,168670,176,0.009897124102456587,16
14,1378879,99941420,175843094,380992482,145611,175,0.009898020654489881,16
15,1427708,106494431,184871079,400553868,136450,174,0.009899987551719846,16
16,1441064,106407695,186752620,404630460,146054,176,0.009952256535260873,16
17,1316296,85305582,157988087,342307446,147447,161,0.009985213788004755,16
18,1424960,109829468,188058757,407460794,124343,174,0.009706834381667029,16
19,1488057,110809263,188699929,408849688,115522,176,0.009749261982504132,16
20,1428007,106376084,182374107,395143736,128908,172,0.009742137152461087,16
21,1453061,105598382,184367220,399462128,136272,175,0.009973008956209985,16
22,1462967,107525655,186760841,404648036,141756,176,0.009970154472467059,16
23,1547300,108609481,188451071,408310604,127135,176,0.00996728895423757,16
24,1393426,104734065,183912801,398477222,169187,176,0.009967157230054218,16
25,1442917,106003302,185554961,402035530,139180,176,0.009967641368152196,16
26,1385709,105312498,181787356,393872544,137884,174,0.009767907506175002,16
27,1393448,105425223,182820632,396111222,135022,175,0.009799427517043971,16
28,1422544,104106842,180807300,391748864,162169,175,0.009798166137298668,16
29,1392349,104156293,182288425,394957602,143069,175,0.009790168893161687,16
30,1441974,106252022,184639705,400052302,134826,176,0.00986100271069059,16
31,1475420,108212457,188443469,408294042,134868,176,0.009862789607858486,16
32,1435098,106205975,183186152,396902922,137571,174,0.009899377896337205,16
33,1440745,103172295,181297521,392811068,138166,173,0.009906081346924603,16
34,1416481,107171353,185811348,402591254,128177,176,0.00989829030975528,16
35,1486002,110175458,189472402,410523516,123687,176,0.009905136519012593,16
36,1421539,109786988,189099004,409714344,141175,176,0.009938891703066105,16
37,1453454,107274744,184651613,400078224,127396,176,0.00993887377202544,16
38,1437378,104691777,182448912,395305872,147430,176,0.009944875153405225,16
39,1370682,104705200,181241760,392690168,138205,172,0.009939908255140777,16
40,1414735,106556779,184248517,399204832,145290,171,0.009940634462287745,16
41,1486177,105755535,189514508,410614386,173132,175,0.009993599308137693,16
42,1430910,108801289,189150589,409826248,161683,173,0.009844735808529589,16
43,1471697,100387270,177048611,383605118,143000,165,0.009844398567033988,15
44,1319334,89313869,163541699,354339752,145247,155,0.00972097024861043,15
45,1419758,102185397,183932600,398520148,169729,171,0.009818479247751465,16
46,1362145,104011480,181809443,393920228,165287,168,0.009825466146712465,16
47,1444058,105593539,187425807,406089138,180562,172,0.009873135818322696,16
48,1419890,103812151,182796283,396058468,181890,168,0.009998345516670868,16
49,1384100,101013084,182780240,396023472,189175,170,0.009882809614761937,16
50,1348340,104770996,185366262,401626680,187524,174,0.009940986876202372,16
51,1410682,106846463,189127050,409775158,188012,175,0.009970895852033052,16
52,1441489,103640769,177996724,385659378,148395,167,0.00995694274377336,16
53,1415275,104774482,184577771,399918220,172169,174,0.00997879171682473,16
54,1435534,95161202,172997994,374828272,150136,165,0.009908615140901772,16
55,1431013,107867061,187288284,405791204,165434,171,0.009958075157956952,16
56,1348065,104102708,183976734,398616088,182216,169,0.009961329641837808,16
57,1351827,101143978,176226758,381824768,156371,163,0.009831906838588565,16
58,1379009,95012005,172979591,374788596,152123,166,0.009969533092942446,16
59,1391745,97807400,175316709,379852564,155545,164,0.009968771023714147,15
60,1389447,99600606,178027693,385726432,162509,169,0.009961028262423538,16
61,1392804,99148594,177452868,384480954,140084,163,0.009847327533561219,15
62,1363668,104979318,183479709,397539064,145576,169,0.009930001355172881,16
63,1386738,100434699,177762937,385152924,170893,170,0.00995446826016147,16
64,1398679,104048911,183044083,396595056,167740,171,0.009947555843984773,16
65,1415803,107135849,187254029,405716974,174166,168,0.009915124798318896,16
66,1419490,104767627,183390141,397345390,160978,169,0.009995771722679904,16
67,1349015,100554749,177058777,383627244,140567,165,0.009996361378055648,15
68,1357741,99059270,175028237,379228122,149106,165,0.009996570343644946,15
69,1432356,98843702,175017528,379204176,150072,165,0.009995948274464922,15
70,1361336,97121198,172629804,374031008,143182,164,0.009995311722521284,15
71,1427900,103714773,181488258,393224546,158407,168,0.009939486186029719,16
72,1396187,98216279,174978916,379120820,159830,164,0.009980396544964326,16
73,1369693,100793945,176196464,381758728,132155,162,0.009944406187726271,15
74,1401568,100368884,177347787,384253064,147077,164,0.009772913025142422,16
75,1395054,111182306,190208616,412118538,153480,175,0.009867756506122934,16
76,1416502,102625599,182523420,395467098,173242,171,0.009868043402773587,16
77,1427741,106223493,187200418,405600780,188517,176,0.009959799296482516,16
78,1397124,101395852,179698966,389347660,162319,171,0.009980396544964326,16
79,1412062,100088241,177074155,383660446,148989,167,0.00997937102736932,16
80,1380967,97245433,172552793,373864218,138842,163,0.009815310970796886,15
81,1427637,101217878,181007256,392181764,157897,169,0.00984922477559475,16
82,1437217,101490934,182044558,394429776,159507,168,0.009882310993900342,16
