,rx_bytes_sum,instructions_sum,cycles_sum,ref_cycles_sum,llc_miss_sum,num_interruptions,duration,active_cores
0,566,0,0,0,0,2,0.008354143570394334,2
1,6086,1519559,7631381,16534648,13003,39,0.009838193737308185,16
2,2800,0,0,0,0,16,3.846828912699625e-05,16
3,1088550,69721192,164829915,357130332,267669,163,0.009649004016897937,16
4,1372310,74426828,174382804,377828464,231765,175,0.009751826810974763,16
5,1385099,76742241,185914894,402815036,215628,174,0.009584981236200427,16
6,1319931,79995428,191805621,415577942,237586,176,0.009913322728731976,16
7,1349759,76297435,185427659,401758916,215394,175,0.009879925475836372,16
8,1219225,67158736,158804917,344076356,198793,154,0.009907847554430192,16
9,1287163,73123148,175455461,380152188,197694,164,0.009896721343697014,16
10,1354225,76901898,188300618,407983628,204101,173,0.009998697930585493,16
11,1369873,76018977,186078919,403169676,197441,172,0.009958637227116285,16
12,1331666,75841998,188027325,407391140,194385,173,0.009993067583816408,16
13,1385572,75691333,184233179,399170434,203295,172,0.009989621375731509,16
14,1333092,75089813,187261878,405732704,194475,171,0.009993605515036384,16
15,1302825,74176416,183621800,397845864,186350,170,0.00991568617782282,16
16,1319391,74838260,186346215,403748384,190000,173,0.009990339307013554,16
17,1388148,74926211,185047747,400935444,192607,170,0.00990286824236836,16
18,1142185,63652204,158219982,342809116,172473,155,0.009966657919537214,16
19,1363352,75671688,186983527,405129712,194473,171,0.009517312247349051,16
20,1341742,76880262,188103450,407556006,201075,176,0.009647566775023026,16
21,1377140,79737729,190239355,412183902,230363,175,0.009727485423270836,16
22,1341980,75850852,187307209,405831322,208333,176,0.00975334198391103,16
23,1333148,76309876,187149517,405489084,208711,175,0.0098263654573674,16
24,1372575,76213717,186844777,404828970,200818,172,0.00988428616699523,16
25,1342812,76361402,187604557,406475394,209408,173,0.009927236526633285,16
26,1256983,73072570,181788681,393874286,190763,167,0.0099692130928321,16
27,1274705,72020620,174362937,377785252,203806,170,0.00965121229352148,16
28,1358247,75495460,181734091,393756376,201577,175,0.009894925481008787,16
29,1405723,79156118,188889496,409259344,226294,174,0.009963792401307724,16
30,1430213,77439237,191393839,414685102,204614,175,0.009989855168915575,16
31,1326395,75247281,186506231,404095562,196508,172,0.009987383443925326,16
32,1336949,74009112,183240645,397020026,192149,168,0.00990503858794434,16
33,1383208,79640944,190684152,413147904,219822,176,0.009996139309013555,16
34,1357843,73844237,177884375,385415212,201174,172,0.009958305502863966,16
35,1318778,77407528,186719683,404558674,206908,173,0.009934092391066341,16
36,1372364,77321155,187984475,407298138,211455,173,0.009954787570616404,16
37,1277417,76022488,185824639,402618840,208894,171,0.009971574472956714,16
38,1236531,70683905,174657240,378422824,204478,162,0.009958637227116285,16
39,1213649,70871910,176829929,383130514,203227,161,0.009927879285475616,15
40,1295661,71125763,175794203,380886480,193553,161,0.00995929446872223,15
41,1282563,74735328,184739490,400267868,211041,168,0.009986958616192627,16
42,1252720,77380200,186128779,403277550,223950,170,0.009941488945341016,16
43,1207517,77035706,187318301,405854956,236445,172,0.00998238964909988,16
44,1119055,64620186,158650454,343742516,198737,153,0.009998536551219501,16
45,1333702,78234455,189135935,409793592,232460,170,0.00996478757406468,16
46,1302081,77473859,188234895,407840888,223843,171,0.009924708249899397,16
47,1246328,76587419,186102797,403221598,224719,172,0.009957695847481327,16
48,1268355,74260685,180586230,391268774,220070,167,0.00999365310125969,16
49,1209621,76148718,184829753,400463960,229365,165,0.009962414469798094,16
50,1314394,75654377,186633913,404372488,212730,169,0.0099411034279667,16
51,1248110,77536791,189874866,411394386,233023,171,0.00982621649179879,16
52,1137056,75168829,185438824,401782420,217866,169,0.009964435160150055,16
53,1261619,70214129,176072106,381488536,191536,160,0.009993431721873008,15
54,1250225,70667826,174286359,377619476,203144,160,0.009985010339658738,15
55,1265571,77767211,189872357,411388822,230840,171,0.009931552390190479,16
56,1318307,77021553,185357363,401606556,230870,173,0.009932887563064676,16
57,1064822,60108295,150207223,325447980,165798,140,0.008960056882778235,15
58,1301503,73927430,180211923,390457704,207110,165,0.009594119860041331,15
59,1304282,72799510,182364870,395123014,200182,165,0.009670945403774276,15
60,1286887,78844501,193479680,419205046,228350,175,0.00994983308614934,16
61,1267358,72710409,180024287,390051194,208081,167,0.009875538577771924,16
62,1306888,70223980,169950398,368224922,203117,162,0.009932472390507721,15
63,1203031,69984795,172213352,373127716,202862,158,0.009942065497263964,15
64,1185949,71033273,176157390,381673552,194667,161,0.009957964813091314,15
65,1264527,77212941,186826749,404790230,222910,171,0.0099684779201648,16
66,1267725,75774964,185714050,402379380,214172,167,0.009990064134504874,16
67,1259891,72620862,179614487,389163814,198916,164,0.009944904808587864,16
68,1267946,75839479,185819211,402607270,222898,163,0.009926719974731026,16
69,1254114,76847844,187616152,406500198,217733,172,0.009956499984999995,16
70,1252022,76278281,188265222,407906928,220357,171,0.009966852402362898,16
71,1190408,75732780,183551028,397692542,229164,170,0.009855880639958842,16
72,1262468,73549658,178611363,386990630,221124,168,0.009964186194546963,16
73,1284360,71756338,176662687,382768360,196298,163,0.009964455160156952,16
74,1280334,75474140,185220475,401309584,225607,171,0.009821832352355984,16
75,1263223,78711562,191852970,415680564,225081,173,0.009934262735952668,16
76,1263860,78087640,189552991,410697196,216269,172,0.00998556620191938,16
77,1337929,78507545,189281740,410109362,217102,172,0.009962513090521756,16
78,1293510,77608310,189779525,411187920,227468,172,0.009993351721845421,16
79,1279992,77866642,189183979,409897332,226350,171,0.009974786887857547,16
80,1171181,69093171,171296256,371140744,194315,159,0.009806256484916029,16
81,1210027,73436112,181610655,393488602,209532,167,0.00999795379239786,16
82,1313243,76559766,187490024,406227250,217715,171,0.009994977239647323,16
83,1236187,77509472,188255062,407884594,218172,173,0.009967985506201898,16
84,1212393,76475372,184584677,399931896,229099,171,0.009934809632692977,16
85,1312066,72520999,179097125,388043058,211682,165,0.009911281348717707,16
86,1248857,73357316,183347255,397251764,198858,165,0.00997323861146159,15
87,1298574,72485288,179445171,388797292,197324,164,0.00995627308837003,15
88,1303520,76760285,187040959,405254590,222548,170,0.009962262055952433,16
89,1252503,74421367,183731234,398083452,205232,166,0.009917371695645412,16
90,1283532,71050249,178344486,386411948,203636,162,0.009963801366828057,15
91,1274045,78376133,189669147,410948538,232397,174,0.009959524813629246,16
92,1219453,75765145,185417807,401737258,232799,170,0.009990240686289892,16
93,1253342,73996671,181900596,394116996,216464,167,0.009942403428414976,16
94,1279481,78379628,191572615,415072606,217688,173,0.009968603437449462,16
