,rx_bytes_sum,instructions_sum,cycles_sum,ref_cycles_sum,llc_miss_sum,num_interruptions,duration,active_cores
0,772,1999197,4014890,8698846,9923,6,0.00920108041416566,3
1,4480,1001765,3749454,8123648,5575,26,0.005807690968169299,13
2,1820,93000,363129,786864,685,10,0.0010553493294308033,8
3,2380,0,0,0,0,16,4.19013937591013e-05,16
4,1018452,63889240,172130217,372947172,251229,164,0.009931028941734118,16
5,1203950,70648998,192550942,417192282,233318,174,0.009992795859584779,16
6,1204172,69423824,188290483,407960930,211432,170,0.009988393789101307,16
7,1186228,69298510,187226745,405656056,210416,170,0.009957086192098686,16
8,1198743,70846785,190379498,412487842,217733,171,0.009918684109891072,16
9,1206647,71869777,193058125,418291250,224166,173,0.009938311702866104,16
10,1167295,68829648,186240442,403519376,205968,168,0.00994949791361997,16
11,1160588,70765161,191550863,415025624,209928,172,0.009851887535133632,16
12,1199959,71286346,189116151,409750354,220505,170,0.009965525505353623,16
13,1186953,68997045,187568010,406396146,202337,169,0.009908979968613783,16
14,1211639,71159549,191260900,414396996,207695,172,0.009978289647686085,16
15,1176539,68543317,186805930,404745094,198026,166,0.00996353515983971,16
16,1209000,70179042,189079225,409669754,203544,172,0.00982960201020759,16
17,1208911,71422768,192539377,417167192,206800,172,0.009966013091728652,16
18,1215069,68605495,186360758,403780598,198257,167,0.009931355148743154,16
19,1228770,68819465,184907900,400632492,210128,171,0.009945188946616878,16
20,1189270,70327268,189398337,410361276,206579,171,0.009959856537881565,16
21,1226771,70721576,191047010,413933416,208595,171,0.009973617921937215,16
22,1250145,70763635,191272797,414422658,203673,172,0.009943473773611647,16
23,1157791,71199190,187837918,406980886,215336,169,0.009995234481115339,16
24,1202657,68300791,180576351,391247558,211712,169,0.009968642747807845,16
25,1299145,69278312,185944800,402878814,213192,170,0.00995453377742544,16
26,1263874,70951131,192442110,416956722,207021,172,0.009981822062697264,16
27,1186820,71552468,189661591,410932366,215313,169,0.009933396528757424,16
28,1215946,70053116,188649150,408738590,205034,170,0.00997671723335077,16
29,1173282,68128961,183997335,398659430,199810,167,0.009565606746760947,16
30,1229122,72520567,197684858,428316044,211966,176,0.009937642737118186,16
31,1208662,73563620,195788087,424206250,232351,175,0.00994321032524494,16
32,1199844,70618237,192734861,417591512,213754,171,0.009950906189967652,16
33,1210434,69980062,188529292,408478408,203452,170,0.00998944206532485,16
34,1194128,70626674,190821484,413445058,204597,171,0.009968562058124847,16
35,1191277,72081795,187639972,406552172,224257,172,0.00999450827396837,16
36,1274908,69215190,184974650,400776766,213925,172,0.009976660681607132,16
37,1170520,70754996,188943137,409375200,210694,170,0.009986008960692745,16
38,1145155,69996534,185893646,402768132,214523,170,0.009973666197815931,16
39,1185831,71145454,185960247,402912406,228429,169,0.009837533737080599,16
40,1179606,71628499,192152453,416329108,226468,170,0.009978695854722709,16
41,1136710,70921882,188160575,407679662,216965,168,0.009935174460404986,16
42,1147752,72061080,191662804,415268152,227477,169,0.00998724344387705,16
43,1128983,72378054,189150199,409823726,232278,170,0.009914272384231856,16
44,1139597,72235525,192465058,417006278,235512,173,0.009982895166515574,16
45,1091164,70630528,187597019,406458728,226579,165,0.009984702753345776,16
46,1091183,70751817,187327078,405873910,226338,167,0.009956835157529365,16
47,984204,61700700,162741825,352606566,209604,152,0.009979762751642328,16
48,1153179,72699006,194295695,420972812,233202,172,0.00982709787141306,16
49,1175528,72251666,192552037,417194570,231434,172,0.009970808955451363,16
50,1147332,72855330,194163392,420685928,231697,173,0.009998799309930797,16
51,1128176,71799162,190654125,413082254,231460,170,0.009989361375641853,16
52,1164220,70638359,188480623,408373264,220921,167,0.009988713099556241,16
53,1170615,71206921,189411701,410390500,220127,168,0.009974879301682518,16
54,1113965,70854864,187498091,406244826,228245,165,0.009879115820384766,16
55,1143657,67433393,182425261,395253716,210953,164,0.009899428930837562,16
56,1095047,70916593,188689958,408826808,231134,169,0.009928234458011883,16
57,1175068,70029582,186874843,404894074,218849,165,0.009952890328582872,16
58,995183,62356992,165252473,358046000,213385,153,0.009951677224716285,16
59,1173309,70504628,185959732,402911600,227338,167,0.00998211723521284,16
60,1157376,69823418,185805805,402578176,222853,166,0.009697701275069406,16
61,1179219,72177856,191958216,415908116,232521,169,0.009986564133297977,16
62,1028613,61860727,161009451,348852426,207919,151,0.009868228920078938,16
63,1167353,72749579,193266488,418742272,242872,173,0.009704237139392117,16
64,1197792,73873724,195041868,422588868,237314,172,0.009864029608286072,16
65,1144744,69004066,181740114,393768622,227011,165,0.009987252409397383,16
66,1173930,71621585,188584841,408599022,233637,168,0.009877283405959796,16
67,1202534,71877779,191172443,414205168,230365,171,0.009898684792649928,16
68,1122652,71404484,189499020,410579234,228976,167,0.00998174964887919,16
69,1118125,70578909,188212488,407793048,229772,166,0.009928764113366935,16
70,1154200,71031401,188347744,408085496,235489,168,0.009847655809536487,16
71,1146838,71646528,190732931,413253360,245796,168,0.009979589648134361,16
72,1129620,70691321,187213112,405626910,238287,169,0.009954644122291077,16
73,1169231,70837178,191177582,414217232,238679,170,0.009979669648161948,16
74,1176131,71781258,190991585,413814076,234877,170,0.009934495839481325,16
75,1114849,66535001,180569544,391232790,214366,163,0.00997958344123567,16
76,1135845,67629357,180611355,391323504,219994,163,0.009986217926282043,16
77,1161067,71560531,192484017,417047566,234746,170,0.009998937241012841,16
78,1179470,71454617,189805765,411244366,237534,170,0.009983160683848512,16
79,1146648,70794577,188791666,409047418,228567,168,0.00992825928560665,16
80,1126096,70940606,189443751,410459946,227720,167,0.009948753775432336,16
81,1181859,70133703,187885905,407084860,221343,167,0.009909664106780727,16
82,1151631,72401090,191739157,415433174,230387,172,0.00993659101261759,16
83,1161951,71259490,189583107,410761988,232125,169,0.009980668269195955,16
84,1146831,72527907,191876622,415731082,228746,172,0.009911086865892023,16
85,1107742,68933236,184774443,400343424,217599,163,0.009762539918117213,16
86,1188162,73422234,195035725,422576466,239573,169,0.009993811722004042,16
87,1100469,71818309,190278752,412268974,225188,170,0.00995099584517098,16
88,1097124,67623188,182477787,395367518,214702,164,0.009971962748952672,16
89,1181483,70957848,188648458,408736796,232068,168,0.009966182746959568,16
90,1152472,68266835,182418952,395240040,231823,164,0.009901257896985483,16
91,1090171,66318567,180042872,390091650,206469,162,0.009993186894202376,15
92,1151562,67063316,179932412,389852008,215938,163,0.009901171000403794,16
93,1154444,72105674,191130070,414113908,232255,171,0.009976968267920092,16
94,1097568,70452542,188374274,408142800,232444,165,0.00995623998491034,16
95,1213936,71811511,190733149,413253750,232609,168,0.009986528271216646,16
96,1149324,71091624,187588323,406439670,229164,170,0.009957997226895596,16
97,1158089,69887891,186053442,403114270,220710,168,0.009973385508063969,16
98,1135740,65377891,176920576,383326398,197854,159,0.009968319299420448,15
99,1185386,66092687,179086423,388019164,201430,160,0.009997532412942212,15
100,1134630,66629020,182333816,395055518,200899,162,0.009942011704141968,15
