,rx_bytes_sum,instructions_sum,cycles_sum,ref_cycles_sum,llc_miss_sum,num_interruptions,duration,active_cores
0,426,2446963,2595006,2409550,1744,3,0.008593168480402924,2
1,0,0,0,0,0,1,0.0,1
2,54032,1572950,5977284,6468410,7858,25,0.0077573102611414695,14
3,2520,105630,583954,762502,809,15,0.0013067480368096679,12
4,1003004,93006060,209392813,195155246,243358,163,0.00965882367545644,16
5,1260384,102137182,216287385,200833152,160306,174,0.00990410789796824,16
6,1206064,98620017,207417236,192596352,136304,165,0.009860191675928165,16
7,1184247,96396647,203454189,189435896,155775,172,0.00962414124970388,16
8,1204967,93330651,197054693,182976924,126715,174,0.009610683314028728,16
9,1201419,96352859,201425441,187033678,116276,174,0.00981660338503565,16
10,1230782,99553980,207387398,192569832,128425,173,0.009961217917661351,16
11,1182155,93094783,192721189,178953320,104692,176,0.009960851365810815,16
12,1263998,93180567,190748448,177123232,108494,174,0.009940576531233286,16
13,1215551,94672518,196294721,182270868,106606,166,0.009960722055421398,16
14,1292634,104411708,217864791,202298252,130391,165,0.009969251368707369,16
15,1273056,101683697,211461146,196352832,114541,160,0.00996887654099191,15
16,1265266,103723059,214303350,198991546,117911,158,0.00996930481700166,15
17,1298037,107406027,218714604,203087040,120517,170,0.009967901368241851,16
18,1245021,102878258,213296411,198055962,125123,169,0.009968088609685727,16
19,1327685,105842405,219635929,203942960,128798,163,0.00996269343541153,16
20,1249496,105690056,219939393,204223942,123653,160,0.009940021358628055,16
21,1319884,106371573,220550459,204791574,125131,161,0.009978210682141615,16
22,1228900,104354328,216209806,200759936,110314,172,0.009994399653241259,16
23,1216418,102952657,214229722,198922802,120946,166,0.009792036480012579,16
24,1320413,106389822,221067633,205271898,134702,167,0.00989142754876812,16
25,1282565,107478455,223925884,207925718,129041,167,0.009916122384869788,16
26,1297963,104665787,217634060,202082166,120101,170,0.009997510343969084,16
27,1233776,103607269,214572605,199240236,121556,171,0.009966933092045894,16
28,1296191,106133238,219149836,203491730,121990,170,0.009907230657665744,16
29,1287843,107342069,222295438,206413454,144093,173,0.009957716537143634,16
30,1270336,108274910,225052810,208971854,154197,175,0.009995958619296075,16
31,1204972,99601664,206613254,191851686,112198,167,0.009996106895209274,16
32,1291185,102895897,213151435,197922270,120392,163,0.009850029603458484,15
33,1268933,105613715,216879594,201384508,130016,170,0.009906052381397372,16
34,1284051,102367928,214286520,198976232,135347,175,0.009869943058601055,16
35,1248134,105035279,218089867,202508358,128223,167,0.009924947560326745,16
36,1261168,105813052,217260016,201737562,135492,165,0.009816182005580001,15
37,1336700,110850767,229193053,212816864,147538,176,0.00981661614366074,16
38,1225427,111019013,228830451,212479904,141511,175,0.009989592755031985,16
39,1314853,115341014,235938805,219080888,156176,167,0.009964713780935787,16
40,1306214,115191689,235074071,218278138,152010,171,0.009965172056955882,16
41,1300237,110072156,225278919,209183260,140310,175,0.00995694343342877,16
42,1227440,110572386,227813039,211535896,157819,176,0.00992915549281224,16
43,1365246,112550655,230990881,214486974,143816,175,0.00995112998314827,16
44,1429364,109635479,226872368,210662790,171887,174,0.0097860557882951,16
45,1268942,108699155,221342640,205529818,137916,176,0.00993446514981557,16
46,1331976,114224703,231990225,215414836,146808,175,0.009816866143746945,16
47,1326651,112974411,228273607,211964714,146400,176,0.009908270658024364,16
48,1294131,112074393,227462292,211211832,138230,176,0.00996545791912342,16
49,1278447,106911756,217082023,201573372,132764,174,0.009911326865974781,16
50,1315521,108100746,225823409,209689584,170028,176,0.009950118603489174,16
51,1270307,107263577,222395504,206506144,140524,172,0.009966605160898331,16
52,1300623,112165984,232222799,215630428,154198,173,0.009986184133166943,16
53,1274427,112843235,229633395,213226520,142763,175,0.009974999991379307,16
54,1308419,110330104,225109338,209026194,143808,174,0.009992279652510224,16
55,1260623,107497068,217933989,202364110,136978,174,0.009875096163826263,16
56,1275850,110234750,226471605,210291484,138953,176,0.00996181067648644,16
57,1284816,112123629,227322201,211082222,145337,175,0.009796543378118406,16
58,1279960,107023133,216379156,200920876,129701,176,0.009795505446726017,16
59,1289630,112261665,228338186,212024930,145339,176,0.009933566528816044,16
60,1257502,109996163,223687237,207706538,143971,176,0.009942445152567293,16
61,1312460,111664765,227379046,211134222,142158,175,0.009980026889664444,16
62,1323040,111803942,227585846,211326622,142257,175,0.009998859309951487,16
63,1252346,109100640,222835756,206915098,141260,176,0.009928609630555045,16
64,1264387,110010492,225493590,209384656,149040,176,0.00993219376972199,16
65,1268910,108809330,221016891,205226970,134083,175,0.009877029957596537,16
