,rx_bytes_sum,instructions_sum,cycles_sum,ref_cycles_sum,llc_miss_sum,num_interruptions,duration,active_cores
0,426,127248,545516,1181986,977,4,0.005922960663089884,3
1,626,129941,489355,1060254,983,9,0.001005306553553984,8
2,25230,0,0,0,0,8,0.001390247375947371,8
3,5666,1647472,6416400,13902460,10584,33,0.004537225702491622,15
4,1098709,68529085,168894620,365937494,266600,164,0.009768140609703659,16
5,1345463,76022997,181953406,394231526,236693,170,0.009736092322790456,16
6,1332956,76511156,186960534,405080416,222388,175,0.009875410301865622,16
7,1336710,76473287,186965198,405090062,210480,175,0.009792257859399262,16
8,1323629,75405934,181794501,393887052,216812,174,0.009971944817912005,16
9,1313444,74295675,184459922,399662146,208773,169,0.009994015170350059,16
10,1346736,73765412,178634944,387041434,200507,166,0.009991355169432817,16
11,1330450,75854614,185998226,402994800,200563,174,0.009968833782356476,16
12,1285757,73266127,178437364,386612928,201665,171,0.009982688269892508,16
13,1354711,74451883,182131210,394616300,196792,168,0.009954982053442087,16
14,1304564,75944509,186779818,404687894,197149,172,0.009863154435570495,16
15,1339755,76543597,189201251,409934538,192454,174,0.009956688260926987,16
16,1312187,76222620,186045491,403097578,206792,173,0.009955433777735785,16
17,1291816,76510982,188112439,407575818,213107,174,0.009949746189567652,16
18,1344359,76334070,187615798,406499574,195824,173,0.009957268261126986,16
19,1184124,66004492,161794039,350552514,185885,159,0.009980584820891317,16
20,1237614,68893218,168424233,364918632,196581,159,0.009711708176451095,16
21,1354869,75842119,183567755,397729332,205966,175,0.009798312344245635,16
22,1343943,77382579,189176280,409880198,199098,175,0.009791827514423281,16
23,1365507,77616720,191175310,414211460,200385,176,0.00990531031217597,16
24,1329717,77000233,191244565,414361662,198278,176,0.009933910322038043,16
25,1405493,77198726,190522088,412796514,194360,176,0.009871991679997132,16
26,1323230,74987204,183341696,397239050,190622,169,0.009991833790287515,16
27,1327400,75336459,184597996,399961016,198609,170,0.009993387583926754,16
28,1302716,75494207,186452502,403979004,194516,173,0.009975907577899165,16
29,1323105,75794556,185229428,401329032,191051,171,0.009948242740773359,16
30,1344607,74884274,182022168,394379648,197677,170,0.009983191028686562,16
31,1377120,76937456,186908157,404966848,204444,171,0.009992162066262782,16
32,1340042,78125030,191366143,414624964,201019,175,0.009990243444911532,16
33,1322323,75943180,186187763,403404898,196113,173,0.00991980479993269,16
34,1310871,77362713,188566722,408559944,201534,173,0.009937463426711526,16
35,1301696,76373587,183113820,396745544,213753,169,0.009997084136925564,16
36,1311147,76109739,184587017,399937252,215837,170,0.009913379280475613,16
37,1321674,76875762,187406674,406046160,215170,174,0.00996252481466373,16
38,1314088,74646031,179752067,389462216,212848,170,0.009956335847012361,16
39,1215851,74862527,180697931,391510834,223253,170,0.009977521371559094,16
40,1274912,76604105,183423859,397417124,222953,169,0.009946978602406415,16
41,1283823,72845788,175381379,379991534,196447,161,0.009983698615068488,15
42,1297781,76593096,183239458,397017764,218195,169,0.009943712394383583,16
43,1282103,73918351,180905023,391959880,211012,166,0.009990900686517479,16
44,1213302,75962104,186035162,403074880,210702,169,0.009958068951058259,16
45,1219967,72977460,178790092,387377250,197958,163,0.009948870327196664,16
46,1309571,77691815,187036300,405244060,232776,170,0.009969324127353147,16
47,1266716,77755228,190310234,412337588,224850,173,0.00992786411305659,16
48,1226911,77640954,189565106,410723352,222429,172,0.009961557228123183,16
49,1241432,78204541,185785060,402532884,221060,172,0.009997720688869203,16
50,1235503,74602691,178690429,387161216,214115,167,0.009973020680351958,16
51,1214904,76935871,184610185,399986808,234765,164,0.009960379296682515,16
52,1203982,77455503,187909825,407136652,224137,168,0.009925895146860396,16
53,1214926,70949851,173913289,376810720,207310,162,0.009970076541405705,15
54,1220624,71314188,176893546,383268236,191472,162,0.009910391003583105,16
55,1266975,71382653,175438608,380115606,198481,161,0.009885373753577157,15
56,1323448,76548572,184470029,399683804,224926,170,0.009928204802829242,16
57,1251049,77007577,187866236,407042350,223322,172,0.009984233098011414,16
58,1297441,71978882,178785384,387367474,195984,163,0.00999237172150749,16
59,1222022,70941045,174579234,378253408,204031,160,0.009901517897075137,15
60,1264329,73475881,180941187,392038114,201435,164,0.009993497928792389,15
61,1238776,72571929,177960646,385580260,201688,163,0.009940762738194048,15
62,1201867,75173660,182906047,396295276,217072,170,0.009999750344741497,16
63,1251619,75693937,183017726,396536998,224911,169,0.009934248253189053,16
64,1298842,78436561,192997810,418160912,227872,173,0.009981555855708917,16
65,1285711,77022747,184076865,398831888,232693,170,0.00990604272622163,16
66,1223061,74334132,178213892,386128678,219589,165,0.009998189654548156,16
67,1225497,79030274,191918492,415822212,227934,174,0.00995910895141688,16
68,1251171,77694646,189446687,410466446,223205,172,0.009972011024831388,16
69,1253630,78121117,186109024,403234780,227358,166,0.009999334482529132,16
70,1270059,76621766,185390194,401677640,240734,171,0.009996268274575268,16
71,1252085,73559163,179995337,389988846,207341,165,0.009995255170777645,16
72,1238255,74462529,183175037,396877858,200167,166,0.009893173756266813,16
73,1208522,77678756,189257474,410056530,215935,172,0.009919948248258016,16
74,1291055,76275734,185905203,402793508,216144,169,0.009991342755635433,16
75,1317614,75020336,180221966,390479466,225911,165,0.00996374757370606,16
76,1303132,77279452,188277010,407932486,222099,170,0.009820636489874652,16
77,1257202,72098334,174937665,379030730,203802,163,0.009974233784218547,15
78,1208384,69134561,171759899,372145670,196296,161,0.00993887997892413,15
79,1218892,72276885,176646878,382733962,204743,162,0.009759417158419709,16
80,1253005,73625522,181091088,392362828,204860,167,0.009924854456846365,16
81,1327419,78918258,189907037,411463364,227541,173,0.009970761369228058,16
82,1264813,77315592,187821361,406945266,217218,170,0.009986098615896074,16
83,1264398,78053414,188216304,407801030,214625,172,0.009999702068862783,16
84,1274715,75797893,183775857,398180042,219250,167,0.009982931028596907,16
85,1308183,76154839,180727297,391575392,219997,174,0.009910214451798087,16
86,1276571,78286291,191958566,415909286,228366,171,0.009989783444752912,16
87,1285032,76224065,184357819,399440106,221263,169,0.00996490688445065,16
88,1228916,77062927,186414232,403896376,228121,164,0.009860410986348616,16
89,1237144,72667719,178498737,386745892,214384,166,0.00997482895683757,16
90,1259842,76354571,183797821,398227310,220455,170,0.009959213779039234,16
91,1218061,73079205,181260648,392730156,209423,165,0.009957662744021635,16
92,1242222,71928959,176612292,382658536,197971,162,0.009933960666882988,15
93,1340204,71806710,176233162,381837222,193358,161,0.00983347856326847,15
94,1282685,73784324,180104792,390225966,197472,165,0.00996496619481593,15
95,1305473,75509051,181815140,393931876,211187,168,0.009952540673289887,16
