,rx_bytes_sum,duration,num_interruptions
0,1266,87205022,7
1,6283,3844212954,30
2,74646,2670620,14
3,101822,2652920,14
4,96286,2681116,14
5,110945,2656700,14
6,111210,2661048,14
7,142922,2664564,14
8,113607,2657620,14
9,124282,2653000,14
10,105044,2664356,14
11,112367,2660328,14
12,129550,2662348,14
13,107353,2664848,14
14,122286,2663264,14
15,127390,2662320,14
16,124769,2664732,14
17,119969,2659700,14
18,139725,2669664,14
19,126385,2654976,14
20,113060,2662876,14
21,121109,2662228,14
22,130322,2672820,14
23,109225,2653756,14
24,124965,2676864,14
25,131650,2654340,14
26,120862,2656432,14
27,123168,2660220,14
28,119429,2663860,14
29,117913,2662908,14
30,125096,2661028,14
31,142174,4024316,15
32,240489,5538164,27
33,370490,6518686,40
34,126539,2663068,14
35,136902,2662496,14
36,109444,2661244,14
37,116633,2666248,14
38,132341,2659928,14
39,129791,2662164,14
40,126691,2662768,14
41,122850,2661936,14
42,124742,2662644,14
43,117409,2662328,14
44,121832,2662404,14
45,120987,2662508,14
46,131450,2662576,14
47,137904,2662044,14
48,119405,2662212,14
49,121089,2662448,14
50,144102,2662696,14
51,125328,2662384,14
52,142825,2662088,13
53,129938,2662984,14
54,125883,2661956,14
55,137211,2662684,14
56,122590,2661996,14
57,140937,2662796,14
58,135254,2662688,14
59,147296,2662040,14
60,138441,2660648,14
61,141760,2666656,14
62,132039,2657992,14
63,146328,2811896,15
64,124356,2661940,14
65,122764,2664408,14
66,129088,2660356,14
67,136171,2664144,14
68,128604,2667448,14
69,128782,2659536,14
70,120105,2660652,14
71,138466,2661700,14
72,129494,2661344,14
73,119241,2663928,14
74,130689,2661176,14
75,128990,2668588,14
76,128993,2657056,14
77,142970,2661328,14
78,126073,2685728,14
79,137729,2638320,14
80,137441,2664712,14
81,153374,2666180,14
82,124651,2672964,14
83,137422,2645980,14
84,134049,2662268,14
85,144644,2664916,14
86,156593,2660048,14
87,131205,2662452,14
88,149629,2662800,14
89,145567,2663580,14
90,136905,2660488,14
91,172163,2664252,14
92,136660,2660932,14
93,137418,2662728,14
94,133016,2664180,14
95,124948,2660036,14
96,125719,2664280,14
97,147978,2664740,14
98,135711,2660316,14
99,132508,2661220,13
100,139144,3977064,14
101,138613,2664128,14
102,137183,2660168,14
103,132568,2668236,14
104,138291,2656388,14
105,148852,2662788,14
106,124652,2662112,14
107,123499,2662960,14
108,127772,2661856,14
109,127985,2664976,14
110,140269,2660600,14
111,129324,2662040,14
112,129633,2662712,14
113,119198,2661860,14
114,133751,2662580,14
115,142166,2678572,14
116,132976,2646324,14
117,137707,2663812,14
118,129030,2660504,14
119,143155,2667096,14
120,157858,2657748,14
121,141567,2662300,14
122,129720,2662924,14
123,133739,2662336,14
124,132926,2665356,14
125,148870,2660988,14
126,123694,2660268,14
127,131272,2662760,14
128,124719,2664612,14
129,143023,2660412,14
130,143089,2664764,14
131,130387,2660380,14
132,158391,2661976,14
133,129186,2662036,14
134,132796,2665484,14
135,141915,2660960,14
136,133337,2661032,14
137,132440,2662352,14
138,135676,2662536,14
139,138740,2697172,14
140,131460,2670624,14
141,132490,2653840,14
142,135655,2664276,14
143,138060,2662400,14
144,138592,2662704,14
145,139957,2662304,14
146,135629,2662724,14
147,133160,2660256,14
148,128227,2682456,14
149,140491,2642220,14
150,126982,2663936,14
151,138941,2662628,14
152,125156,2662112,14
153,150789,2686732,14
154,133092,2637136,14
155,138866,2853020,15
156,118672,2660760,14
157,135892,2661724,14
158,135389,2664696,14
159,148611,2660560,14
160,135564,2663996,14
161,137417,2660452,14
162,145472,2677468,14
163,143477,2647176,14
164,146199,2662920,14
165,128091,2661860,14
166,137326,2662316,14
167,135779,2664256,14
168,138263,2660712,14
169,134627,2662416,14
170,125628,2663944,14
171,131572,2661720,14
172,133900,2661644,14
173,138625,2662224,14
174,127426,2663608,14
175,157371,2663052,14
176,128216,2660120,14
177,135411,2663496,14
178,130913,2662140,14
179,153383,2671792,14
180,148545,2653236,14
181,150293,2661728,14
182,132142,2664440,14
183,129611,2681764,14
184,134258,2661956,14
185,135740,2662816,14
186,142307,2738948,14
187,139673,2660320,14
188,145145,2663008,14
189,126418,2838972,14
190,134544,2635124,14
191,148081,2663528,14
192,135746,2660628,14
193,131695,2662276,14
194,133961,2664508,14
195,124244,2660496,14
196,132992,2661760,14
197,135467,2665040,14
198,134562,2660132,14
199,133314,2662888,14
200,141469,2662200,14
201,141358,2662328,14
202,144300,2662424,14
203,134867,2663860,14
204,166311,2710828,14
205,129344,2662296,14
206,156812,2660228,14
207,134356,2662504,14
208,132157,2662524,14
209,151549,2664580,14
210,160729,2660096,14
211,139084,2662056,14
212,133547,2664744,14
213,142140,2675820,14
214,145360,2656984,14
215,141702,2668600,14
216,142384,2671644,14
217,126483,2636896,14
218,124213,2680548,14
219,139984,2644044,14
220,137431,2664104,14
221,153466,2661096,14
222,123859,2661916,14
223,132106,2666588,14
224,137442,2658232,14
225,149346,2664864,14
226,137907,2661112,14
227,133357,2663504,14
228,140371,2660176,14
229,161317,2662348,14
230,128582,2662892,14
231,152175,2664112,14
232,136321,2662384,14
233,143461,2662240,14
234,156477,2660696,14
235,135666,2662304,14
236,138300,2662912,14
237,128202,2663796,14
238,154865,2660612,14
239,144154,2663104,14
240,146131,2661528,14
241,127676,2662512,14
242,148226,2797448,14
243,91569,2668320,14
244,174363,2673668,14
245,154184,2643568,14
246,135699,2662692,14
247,145830,2661780,14
248,141513,2664060,14
249,131561,2662564,14
250,139668,2660376,14
251,143260,2662624,14
252,146880,2663528,14
253,126006,2665084,14
254,156554,2660412,14
255,137109,2831484,14
256,139723,2664852,14
257,141817,2660744,14
258,131380,2662108,14
259,140368,2662720,14
260,143458,2663948,14
261,127918,2660688,14
262,133678,2662388,14
263,135064,2664000,14
264,128575,2662620,14
265,147625,2660348,14
266,134719,2662592,14
267,125801,2662472,14
268,138979,2663880,14
269,136067,2662568,14
270,123198,2662216,14
271,141409,2662512,14
272,136849,2662500,14
273,136372,2660808,14
274,147430,2662144,14
275,147768,2662140,14
276,174036,2662624,14
277,158203,2664412,14
278,135124,2660772,14
279,138671,2663804,14
280,129267,2682200,14
281,132532,2641940,14
282,142177,2662356,14
283,149569,2660460,14
284,145365,2662624,14
285,138177,2664240,14
286,148773,2660768,14
287,120972,2670748,14
288,143182,2670656,14
289,133378,2662472,14
290,137728,2647372,14
291,144721,2660648,14
292,141201,2664608,14
293,138002,2659604,14
294,132157,2664204,14
295,136556,2662296,14
296,150650,2662712,14
297,147971,2660008,14
298,163902,2664428,14
299,132906,2660820,14
300,127690,2664116,14
301,148487,2660532,14
302,154090,2662464,14
303,132203,2679044,14
304,134012,2645716,14
305,145022,2664416,14
306,123016,2663248,14
307,143721,2659200,14
308,142204,2664312,14
309,139434,2661280,14
310,134553,2662100,14
311,128367,2663976,14
312,138684,2662744,14
