,rx_bytes_sum,num_interruptions,duration
0,426,2,0.003074049335879081
1,0,4,0.0002485814650280914
2,2438,17,0.009108790037513807
3,1540,9,0.00150971155507295
4,1216110,143,0.009822285455960502
5,1505517,154,0.009652652983673442
6,1473518,154,0.009653812984073442
7,1555351,154,0.009652724707836105
8,1615340,154,0.009653215742488187
9,1717045,154,0.009649672292990446
10,1747336,154,0.009653596432274631
11,1677465,154,0.009654174363508402
12,1744493,154,0.009649426775664405
13,1767286,154,0.00965420470834645
14,1813650,154,0.009653488846030636
15,1767138,154,0.009653189535582599
16,1713389,154,0.009652975742405428
17,1770980,154,0.009657061261055607
18,1761414,154,0.009649615741246807
19,1810027,154,0.00965346953567915
20,1757116,154,0.00965283091476928
21,1806696,154,0.009653626777112682
22,1793767,154,0.00965347091498997
23,1763538,154,0.009643119187282478
24,1757450,154,0.009642745394050136
25,1763401,154,0.009643625394353584
26,1763832,154,0.009642946773429922
27,1768050,154,0.009642872290645617
28,1759441,154,0.009644886084443477
29,1725070,154,0.009644334360115296
30,1751578,154,0.009638141254531466
31,1774149,154,0.00962866400988414
32,1700737,154,0.009893718584040891
33,1748820,153,0.009947439981875856
34,1669700,151,0.00944358325640802
35,1703609,154,0.009515843970980679
36,1755438,154,0.009574293646308154
37,1742385,154,0.009572943301014932
38,1747466,154,0.009547348809430624
39,1712488,154,0.009797935102736242
40,1747796,154,0.00979741096462447
41,1720577,154,0.009774590267100092
42,1743636,154,0.009781501993621378
43,1736989,154,0.009773769577161924
44,1760122,154,0.0097813888901341
45,1708762,152,0.009620595731239908
46,1714561,152,0.009893526859836849
47,1730193,154,0.009894794446480844
48,1677320,153,0.0098939889289617
49,1730112,154,0.00989490479134648
50,1751516,153,0.009900359965641368
51,1714895,153,0.009930066872436853
52,1761081,153,0.009930713769211645
53,1716182,154,0.009923786870271335
54,1751726,154,0.009943024807939588
55,1744274,154,0.009914318591144342
56,1725803,154,0.009914766867160989
57,1693475,153,0.009891864790298204
58,1718571,153,0.009880385475994992
59,1727399,154,0.009880956510674659
60,1804194,154,0.009881186855581675
61,1761804,154,0.009864251677328165
62,1761835,154,0.009885531684666098
63,1727874,154,0.009886876512716039
64,1711806,154,0.00995425584629512
65,1744758,151,0.009877002716207834
66,1694771,154,0.009904499967068953
67,1674835,153,0.009904938587909858
68,1750765,153,0.009906443416014972
69,1712200,154,0.009900239275944578
70,1679511,150,0.009786230960769297
71,1729522,154,0.009852096500722931
72,1691765,153,0.009851855121329352
73,1705517,153,0.009848764085780719
74,1717873,152,0.009974953094811412
75,1710494,154,0.009987434478425683
76,1750577,152,0.009986708960934124
77,1698738,153,0.009842284083546236
78,1726250,154,0.009875231681114373
79,1734992,154,0.0099298137689013
80,1714137,154,0.009931198596965033
81,1700798,154,0.00993164549367086
82,1725720,153,0.00993258894227205
83,1743547,154,0.00996453791880618
84,1702616,154,0.009965773781301304
85,1831726,153,0.009953686190926273
86,1729907,152,0.009875845474429474
87,1757927,151,0.009918138592461583
88,1776296,152,0.009932534459494642
89,1737933,154,0.009933453080501062
90,1679749,153,0.00993246963188608
91,1818696,153,0.009973955163432816
92,1719180,152,0.00986985305857002
93,1752153,154,0.00986738133357977
94,1751305,153,0.009655255053536226
95,1691401,151,0.009733354390811858
96,1712008,152,0.009805917174454198
97,1702039,153,0.009791163376263233
98,1742263,154,0.009857119261075607
99,1709719,153,0.009791144065911746
100,1709177,153,0.009897946861360987
101,1706588,153,0.009897766171643507
102,1763072,152,0.009898618585730547
103,1707369,153,0.009986039305530795
104,1705231,152,0.009982143442118428
105,1781392,150,0.009926822043731739
106,1708549,153,0.009967176540405704
107,1729882,151,0.009904411691176446
108,1674117,153,0.009988330340803566
109,1751526,154,0.009989239306634244
110,1745403,153,0.009947480671545059
111,1779322,154,0.009950172396611171
112,1705471,154,0.009949020672076094
113,1773195,152,0.009949812396487033
114,1769327,154,0.009944604118829007
115,1720788,154,0.009922839283737684
116,1709087,152,0.009906088243478705
117,1755660,154,0.00995907998588965
118,1730192,154,0.009960037227599043
119,1681511,154,0.0099938965496195
120,1763245,153,0.009988508961554815
121,1682570,152,0.009807673726784044
122,1731607,154,0.00987449030154838
123,1756806,154,0.009806550967776195
124,1754602,151,0.009812279245613533
125,1710911,153,0.00981673028163113
126,1761784,154,0.009816149591775722
127,1790510,154,0.009816106833140287
128,1724693,154,0.00983521718455765
129,1766159,153,0.009864047539326739
130,1772098,154,0.009863559263296297
131,1776361,154,0.009865306850105811
132,1757457,154,0.009866059953813778
133,1732973,154,0.00986591788479927
134,1774041,154,0.009860443400152897
135,1755617,153,0.009866277884923409
136,1772179,154,0.009984602063655885
