,rx_bytes_sum,duration,num_interruptions
0,912,71954786,12
1,87102,3860520014,20
2,1540,2608400,7
3,27722,2947954,19
4,29323,2607600,13
5,22906,2612224,10
6,35537,2830816,16
7,23942,2706208,14
8,29731,2685332,13
9,24191,2662272,14
10,23150,2675704,11
11,35811,2662900,14
12,43177,2659980,13
13,42051,2663768,14
14,33235,2752744,14
15,35122,2661712,14
16,29844,2662376,14
17,39253,2717428,15
18,41634,2661280,14
19,36764,2692128,14
20,45289,2844756,16
21,29030,2663384,12
22,31220,2662532,14
23,36147,2662432,14
24,26861,2662684,12
25,33676,2660812,14
26,27306,2672132,14
27,36658,2662120,12
28,42109,2661052,14
29,29462,2661592,12
30,38267,2690060,13
31,30880,2663876,13
32,31414,2662560,13
33,38157,2661336,13
34,48750,2838512,15
35,30400,2661232,12
36,43477,2731876,13
37,37275,2663444,13
38,39048,2901508,14
39,34711,2663220,14
40,35484,2661688,14
41,36258,2714964,14
42,46666,2663424,14
43,35632,2739596,14
44,35439,2661496,14
45,34072,2663200,14
46,35908,2665164,14
47,35095,2660628,13
48,33062,2664560,13
49,48854,2661028,14
50,27321,2663252,13
51,40691,2850568,16
52,27172,2626592,12
53,33982,2664008,14
54,51054,2684852,15
55,32783,2661784,13
56,39086,2778396,15
57,39856,2663648,14
58,42539,2662032,14
59,41810,2662616,14
60,34684,2602876,14
61,29181,2663420,12
62,37461,2662468,14
63,40943,2661508,14
64,40351,2663012,13
65,31227,2662772,13
66,48110,2662180,13
67,32647,2603760,13
68,30027,2662300,14
69,36400,2662964,13
70,34962,2662016,14
71,41279,2662436,14
72,34357,2840784,14
73,38895,2662208,14
74,38144,2661544,14
75,43361,2737932,14
76,34961,2662496,12
77,33191,2715548,14
78,37866,2773860,15
79,34321,2662936,14
80,36240,2660260,13
81,36318,2667872,13
82,34431,2658880,14
83,27297,2662328,13
84,40577,2733548,15
85,37470,2615240,13
86,42464,2659612,14
87,33699,2662420,14
88,55822,2661504,14
89,36981,2663276,14
90,34697,2743328,14
91,33700,2663944,14
92,30404,2745932,14
93,31386,2664244,14
94,41397,2662320,14
95,38056,2662292,14
96,31640,2661028,14
97,36452,2663124,14
98,33184,2662420,14
99,32468,2745648,14
100,45195,2734304,14
101,38168,2662024,14
102,37688,2662720,14
103,38154,2662700,14
104,30675,2662604,14
105,32435,2662064,14
106,31341,2662300,14
107,32117,2603868,12
108,33978,2656092,14
109,29919,2767196,14
110,31191,2661540,14
111,27804,2663200,14
112,43141,2662152,14
113,39386,2623428,14
114,30984,2794896,14
115,38080,2662408,14
116,38058,2662236,13
117,29300,2663304,13
118,32444,2661724,13
119,35797,2661296,14
120,33714,2663540,14
121,31264,2662944,14
122,35988,2661884,13
123,31522,2661536,13
124,33338,2663208,12
125,31000,2661320,13
126,36727,2663296,13
127,36141,2662524,13
128,34813,2660892,13
129,34684,2724916,13
130,37005,2662460,13
131,26516,2755452,12
132,42427,2662624,13
133,49133,2691552,13
134,34360,2832988,13
135,37843,2662344,13
136,34040,2662496,13
137,36894,2645784,12
138,37305,2642052,13
139,38372,2661596,13
140,40658,2660148,13
141,30121,2681832,13
142,31212,2664312,13
143,30187,2662444,12
144,26470,2662308,13
145,30794,2686956,13
146,32892,2661712,13
147,32296,2662504,12
148,38626,2662236,13
149,42402,2660836,13
150,37296,2662504,13
151,31793,2663440,13
152,43286,2668372,13
153,43739,2662508,13
154,39858,2660768,14
155,38166,2666768,13
156,34766,2659812,13
157,39217,2662336,13
158,38999,2661804,13
159,31710,2662772,11
160,32702,2662188,13
161,45735,2804592,15
162,33467,2658908,13
163,36177,2662316,13
164,37505,2667504,13
165,35470,2662564,14
166,37440,2662652,14
167,36941,2662140,14
168,31507,2715592,13
169,37484,2663396,13
170,36204,2746848,13
171,35965,2662284,13
172,39510,2660680,12
173,37006,2664116,13
174,34610,2662828,13
175,39219,2661868,13
176,33939,2662596,12
177,32965,2790164,13
178,39989,2853436,15
179,37395,2662620,12
180,41579,2660644,13
181,31345,2664216,12
182,36661,2661128,13
183,42889,2666716,13
184,39839,2659664,12
185,41258,2662400,13
186,44481,2621912,13
187,36730,2662888,12
188,34207,2725972,13
189,45482,2782416,17
190,44175,2897504,13
191,35553,2661288,13
192,33869,2662684,13
193,35814,2737220,13
194,34921,2661076,13
195,36277,2661076,13
196,40010,2663036,13
197,33179,2737676,12
198,38979,2671428,13
199,38911,2662488,13
200,41043,2667440,13
201,40473,2656976,13
202,37557,2661472,12
203,37714,2663548,12
204,37010,2662692,13
205,31332,2660300,13
206,42503,2680196,13
207,34509,2661460,13
208,36718,2663444,13
209,31814,2662316,12
210,43303,2660908,14
211,43935,2897532,16
212,40134,2689324,13
213,36428,2661752,13
214,36738,2663800,13
215,42560,2661828,13
216,39755,2662560,13
217,43075,2662548,14
218,35653,2736704,14
219,33669,2795712,14
220,34899,2778148,13
221,35779,2740736,14
222,42186,2649332,13
223,38751,2662912,14
224,37213,2661656,14
225,42420,2660156,14
226,32420,2663816,14
227,37402,2662372,14
228,36825,2663584,14
229,41724,2663140,14
230,32059,2787344,13
231,33389,2663556,14
232,35688,2692548,13
233,36007,2664916,14
234,34103,2659612,14
235,43136,2646568,14
236,53029,2776848,15
237,30320,2956728,14
238,38901,2664140,14
239,38147,2725724,15
240,44000,2701272,14
241,36386,2666324,13
242,37671,2662060,13
243,38304,2662736,14
244,43264,2660356,14
245,31988,2664084,14
246,35303,2662804,14
247,41365,2659728,14
248,47844,2665220,14
249,36426,2681716,14
250,46282,2666584,14
251,36588,2662524,14
252,39322,2662504,13
253,35088,2662720,14
254,48565,2662612,14
255,33293,2628792,13
256,30522,2663380,14
257,38865,2699596,14
258,44502,2662564,14
259,34930,2711048,14
260,36866,2683184,14
261,38357,2661360,14
262,37312,2665884,14
263,43027,2847836,14
264,32683,2663256,14
265,45041,2699912,14
266,36980,2756764,14
267,37104,2663544,14
268,37904,2662432,14
269,35524,2691772,14
270,34066,2661648,13
271,35312,2749992,15
272,55485,2663316,14
273,37743,2795924,15
274,40107,2660244,13
275,37164,2667052,14
276,31843,2659964,14
277,36221,2660700,13
278,31275,2663368,14
279,38628,2662748,14
280,38363,2662276,14
281,40828,2662224,14
282,39625,2662672,14
