,rx_bytes_sum,duration,num_interruptions
0,0,27923988,2
1,772,63131830,4
2,2100,16662076,14
3,1120,3752669842,8
4,2660,70543216,20
5,74500,2721004,19
6,119435,2661848,14
7,117966,2662760,14
8,123992,2663800,14
9,124752,2660656,14
10,130550,2662372,14
11,122328,2662476,14
12,155649,2676588,14
13,138934,2649784,14
14,125791,2662352,14
15,150019,2660728,14
16,135754,2663752,14
17,134054,2661560,14
18,132911,2663472,14
19,132193,2660964,14
20,133320,2662240,14
21,125607,2662232,14
22,145895,2670080,14
23,126089,2668716,14
24,124290,2662208,14
25,125517,2663944,14
26,100940,2660600,12
27,159095,2663704,15
28,129540,2666596,14
29,132255,2664976,14
30,119867,2668932,14
31,146597,2650808,14
32,138804,2661960,14
33,145598,2668164,14
34,130254,2657156,14
35,132226,2662000,14
36,129126,2664264,14
37,129732,2665200,14
38,137098,2663292,14
39,127560,2657308,14
40,141008,2662168,14
41,139813,2662504,14
42,146912,2661744,14
43,137616,2665100,14
44,143797,2662340,14
45,149920,2698808,14
46,132968,2644656,14
47,122528,2659724,14
48,138171,2664680,14
49,139669,2662024,14
50,137611,2661900,14
51,148780,2663904,14
52,120463,2664212,14
53,139995,2660696,14
54,169555,2662532,14
55,128253,2664136,14
56,136963,2660548,14
57,140758,2676984,14
58,140477,2649212,14
59,138123,2667348,14
60,148991,2655504,14
61,149208,2662496,14
62,160320,2664664,14
63,158879,2663616,14
64,132342,2659732,14
65,139379,2663692,14
66,138509,2660516,14
67,137732,2661392,14
68,154695,2664208,14
69,155865,2661804,14
70,138768,2668120,14
71,155159,2655492,14
72,145423,2663676,14
73,145219,2661692,14
74,153712,2664404,14
75,129631,2661116,14
76,143473,2662288,14
77,180441,2662168,14
78,145129,2661932,14
79,172176,2664720,14
80,147950,2660396,14
81,138399,2664708,14
82,173216,2660920,14
83,148734,2670332,14
84,139849,2655608,14
85,157524,2661004,14
86,145775,2662892,14
87,157933,2662292,14
88,157116,2661504,14
89,151286,2663184,14
90,139581,2667224,14
91,134532,2657948,13
92,155884,2676760,15
93,131426,2657504,13
94,149236,2652344,14
95,157584,2662472,14
96,153489,2666652,14
97,133392,2659352,14
98,155409,2660644,14
99,147312,2662332,14
100,144409,2662752,14
101,131265,2669872,14
102,147704,2656432,14
103,150220,2661388,14
104,160429,2661744,14
105,176657,2663176,14
106,156644,2662232,14
107,157890,2662640,14
108,148754,2669828,14
109,138342,2655844,14
110,142812,2662300,14
111,154436,2660600,14
112,142702,2674056,14
113,146308,2650696,14
114,155916,2669632,14
115,158911,2655296,14
116,151784,2665216,14
117,146780,2662504,14
118,171733,2659648,14
119,141376,2662008,14
120,157250,2673068,14
121,145094,2653680,14
122,157224,2662424,14
123,151511,2660816,14
124,148020,2663952,14
125,141651,2660948,14
126,145078,2664048,14
127,151409,2660788,14
128,140058,2661924,14
129,154439,2662808,14
130,138684,2664076,14
131,144109,2662616,14
132,136930,2660256,13
133,132502,2662752,14
134,195247,2680120,15
135,122877,2647296,13
136,154281,2659336,14
137,152659,2662348,14
138,155848,2661988,14
139,136172,2663716,14
140,151019,2661640,14
141,142946,2662960,14
142,150732,2661728,14
143,162426,2662740,14
144,138405,2666108,14
145,155434,2660100,14
146,139474,2662704,14
147,147582,2661868,14
148,147860,2660956,14
149,148514,2664300,14
150,154943,2662316,14
151,158245,2662596,14
152,148673,2660624,14
